#SDSSJ             PMF             RA        DEC
003204.64-100210.3 3105-54825-0174   8.01934 -10.03620
004227.73-010634.9 1905-53706-0201  10.61555  -1.10972
010348.36+002102.6 3735-55209-0696  15.95153   0.35074
011508.65+005346.1 0695-52202-0411  18.78604   0.89614
014442.66-003741.7 4232-55447-0422  26.17779  -0.62825
020719.48+070238.9 7256-56658-0515  31.83118   7.04415
021654.59-064003.9 4391-55866-0462  34.22750  -6.66775
022138.87-044446.1 6369-56217-0343  35.41197  -4.74615
023037.56-061727.1 4399-55811-0511  37.65651  -6.29086
023318.94-052939.6 4399-55811-0594  38.32894  -5.49436
024412.36-034939.8 7053-56564-0758  41.05152  -3.82773
024727.34-000026.1 1664-52973-0195  41.86394  -0.00725
024932.84-010708.4 1664-52973-0094  42.38685  -1.11902
072728.49+420047.6 3658-55205-0548 111.86874  42.01324
074107.32+165836.9 2074-53437-0250 115.28054  16.97694
074544.23+353358.2 0542-51993-0378 116.43432  35.56618
074809.70+160043.0 1921-53317-0282 117.04044  16.01196
075017.35+400441.2 3672-55484-0192 117.57232  40.07814
075025.29+172150.1 1920-53314-0138 117.60541  17.36394
075150.39+304516.2 0890-52583-0206 117.96000  30.75451
075214.57+271820.2 0858-52316-0490 118.06074  27.30562
075445.62+085656.4 2945-54505-0184 118.69012   8.94903
080354.90+305152.1 3755-55504-0820 120.97879  30.86450
081121.52+072709.1 1756-53080-0450 122.83969   7.45255
081259.07+175215.1 2082-53358-0260 123.24616  17.87088
082026.85+444245.8 0547-51959-0545 125.11190  44.71273
082154.86+302601.8 3188-54831-0062 125.47859  30.43384
082900.96+084645.4 1758-53084-0449 127.25402   8.77930
083625.73+340029.6 0933-52642-0198 129.10723  34.00824
084035.48+065331.4 1298-52964-0259 130.14785   6.89207
084311.70+280120.5 1587-52964-0633 130.79877  28.02237
084409.75+383926.8 3765-55508-0820 131.04066  38.65747
084638.30+313422.9 1270-52991-0429 131.65960  31.57306
090131.61+840015.4 2549-54523-0618 135.38174  84.00429
090215.30+282611.6 5781-56337-0444 135.56376  28.43657
090245.84+054618.2 1191-52674-0126 135.69102   5.77175
090552.87+122148.6 5298-55979-0325 136.47031  12.36351
091029.54+225026.8 2287-53705-0196 137.62312  22.84080
091416.42+004146.8 0472-51955-0499 138.56842   0.69635
093003.42+054815.5 0992-52644-0435 142.51427   5.80433
093356.45+191601.5 2361-53762-0308 143.48523  19.26710
093447.40+261525.6 2294-53733-0536 143.69752  26.25713
093606.25+141133.2 5315-55978-0392 144.02607  14.19257
093635.06+602128.4 0486-51910-0291 144.14611  60.35791
095747.79+163723.1 2585-54097-0262 149.44914  16.62309
095918.27+153624.1 5326-56002-0228 149.82615  15.60672
101153.59+061713.9 0996-52641-0112 152.97330   6.28721
101336.63+074027.2 3155-54829-0318 153.40264   7.67423
101416.34+535022.2 3324-54943-0141 153.56809  53.83952
101911.57+531143.7 3324-54943-0020 154.79825  53.19549
102017.51+365522.0 3152-54801-0458 155.07299  36.92278
102423.17+001049.9 3831-55543-0979 156.09655   0.18053
102437.82+601208.7 7087-56637-0984 156.15761  60.20244
102838.51+525650.1 1009-52644-0323 157.16049  52.94726
103004.48+423950.9 1429-52990-0124 157.51867  42.66416
103223.27+122215.1 5343-55999-0188 158.09697  12.37088
104010.00+063043.6 1000-52643-0198 160.04168   6.51214
104826.86-000056.7 2569-54234-0179 162.11193  -0.01576
104933.74+134820.0 5350-56009-0014 162.39062  13.80556
105351.20+492207.0 0876-52346-0084 163.46335  49.36862
112056.38+044355.4 0835-52326-0639 170.23494   4.73206
112616.66-010140.7 0281-51614-0243 171.56945  -1.02799
112620.47+090145.5 3232-54882-0084 171.58533   9.02932
113503.20-011341.9 2877-54523-0121 173.76335  -1.22831
120834.50+133125.7 1612-53149-0352 182.14375  13.52383
121334.19+680622.9 0493-51957-0518 183.39246  68.10637
121720.58+553358.3 1019-52707-0462 184.33579  55.56620
122729.38+470353.3 1453-53084-0274 186.87244  47.06482
125940.45+512234.7 0887-52376-0308 194.91856  51.37631
130717.12-002639.4 0294-51986-0174 196.82134  -0.44429
131520.61+210345.5 2651-54507-0137 198.83591  21.06265
134052.62+353713.0 3986-55329-0858 205.21928  35.62030
134336.44+082639.4 2903-54581-0046 205.90185   8.44428
134827.75+461725.4 1465-53082-0590 207.11564  46.29039
135042.43-002004.7 0300-51943-0102 207.67680  -0.33464
