t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
858938081.995,858938091.995,858938086.049,858938083.42,858938088.945,1.75338741698,0.482839714511,3.61197807897e-16,9.94649811892e-17,19.4703052861,0.264095066955,0.349717275903,1.71291622807,0.487977579735,3.52860742982e-16,1.00523381425e-16,19.4956596903,0.272157411669,0.364054466195,1.82249896622,0.473937168971,3.7543478704e-16,9.76310568081e-17,19.4283317734,0.250967703436,0.326991095117,12.0,14.7874415599,12.0,10.0102462217,8.11382713189,0.560759163345,0.889135393977,0.812219658003,272.020629883,177.140258789,256.992574656,182.14404059,13.5234315345,0.0
858938091.995,858938101.995,858938095.358,858938092.23,858938099.51,1.61803012855,0.447608824178,3.33314206481e-16,9.22074177807e-17,19.5575334897,0.265169526396,0.351610964464,1.60231150779,0.449552757714,3.30076170605e-16,9.26078680891e-17,19.5681326205,0.268504190581,0.357521310902,1.71189424594,0.435820132347,3.52650214663e-16,8.97789472635e-17,19.4963076696,0.246248981105,0.319002583754,13.0,15.4290536032,18.0,15.1018564343,9.01285440954,0.845983624331,0.987653264732,0.842615667596,273.28125,175.893051147,257.452065685,182.144196859,13.5239102023,0.0
858938101.995,858938111.995,858938107.609,858938102.7,858938111.875,1.56032627251,0.445687463094,3.21427212136e-16,9.18116173975e-17,19.5969614472,0.272796203172,0.365203152288,1.56626961583,0.444947509357,3.22651540862e-16,9.16591869276e-17,19.5928336922,0.271481088,0.362840347258,1.67585235398,0.431076773644,3.45225584921e-16,8.88018153707e-17,19.5194106156,0.248535433532,0.322861734719,13.0,15.113402895,22.0,18.5983719885,9.01833795744,1.04185324565,0.988254166926,0.860331685825,276.352722168,175.636413574,256.178976946,182.144094621,13.523601814,0.0
858938111.995,858938121.995,858938118.127,858938114.04,858938121.805,1.24044626253,0.412679181382,2.55531930082e-16,8.50119113647e-17,19.8460551127,0.311819638563,0.439174509087,1.27833452353,0.407555602882,2.63336911847e-16,8.39564541938e-17,19.8133887052,0.30046187315,0.416841526476,1.38791726168,0.392360465459,2.85910955905e-16,8.08262558845e-17,19.7240910571,0.270310453245,0.36074383931,11.0,12.512862498,28.0,23.7338448237,9.01556803386,1.32953482577,0.987950631115,0.879195544607,277.346893311,175.198074341,256.085318518,182.144163458,13.5235344635,0.0
858938121.995,858938131.995,858938127.535,858938122.215,858938130.875,1.66514812229,0.459688494687,3.43020513191e-16,9.46958299055e-17,19.5263678201,0.264681674764,0.350750505252,1.6759842028,0.458379901053,3.45252745778e-16,9.4426259617e-17,19.519325198,0.262496468583,0.346909367605,1.78556694095,0.444930191616,3.67826789836e-16,9.16556194728e-17,19.4505596586,0.241563831804,0.311162541271,14.0,16.1052889033,23.0,19.3889873119,9.01970602945,1.08614234479,0.988404084003,0.869514884175,277.980316162,174.69644165,256.223528679,182.144541363,13.5232837736,0.0
858938131.995,858938141.995,858938135.966,858938132.675,858938141.125,0.927377874914,0.351909471967,1.91039842232e-16,7.24933512253e-17,20.1618581739,0.349278434958,0.518088118668,0.912572782868,0.354234096567,1.87989993271e-16,7.29722238928e-17,20.1793312201,0.356107252981,0.533424478934,1.02215552102,0.33664785535,2.10564037329e-16,6.9349458202e-17,20.0562075531,0.309099096459,0.433761657795,8.0,9.21896684996,18.0,15.2594743578,9.01914303685,0.854813146895,0.988342389732,0.867879764365,278.032806396,173.652099609,257.117421282,182.144238807,13.5236367968,0.0
858938141.995,858938151.995,858938148.333,858938143.625,858938151.575,1.72527353187,0.458245428297,3.55406347566e-16,9.43985582291e-17,19.4878551008,0.255747519269,0.335179279328,1.69972363119,0.461326991874,3.50143068026e-16,9.50333603261e-17,19.5040542189,0.260716570021,0.343796369135,1.80930636934,0.447960770325,3.72717112085e-16,9.2279918687e-17,19.4362197199,0.240177118254,0.308859300892,14.0,16.3133914885,16.0,13.5253824899,9.0163787432,0.757671889483,0.988039470865,0.858485646213,277.220123291,172.749465942,258.297702959,182.143897582,13.5238439919,0.0
858938151.995,858938161.995,858938156.576,858938152.155,858938161.65,1.72961284292,0.459949393828,3.56300245643e-16,9.47495751286e-17,19.4851277465,0.256020982051,0.335650710096,1.70942368267,0.462375919115,3.5214127863e-16,9.52494393378e-17,19.4978757088,0.259925081751,0.342416571547,1.81900642082,0.449047686321,3.74715322688e-16,9.25038233821e-17,19.4304144198,0.239547947245,0.307816866001,14.0,16.4090537645,17.0,14.3954089376,9.0208883139,0.806409482151,0.988533641971,0.853606724506,276.912078857,173.016921997,258.209128481,182.144065302,13.5237875732,0.0
858938161.995,858938171.995,858938166.09,858938162.025,858938171.125,1.9075148834,0.475952874419,3.9294806598e-16,9.80462921303e-17,19.3788301619,0.241853365477,0.311644426828,1.86594095715,0.480769925755,3.84383837173e-16,9.90386047056e-17,19.4027552562,0.248904224694,0.323486242751,1.9755236953,0.467965999644,4.06957881231e-16,9.64009959268e-17,19.3407943921,0.23082067157,0.293520752945,15.0,17.8211565696,13.0,10.9518430493,9.02097839272,0.613506022671,0.988543513054,0.841752354833,276.110229492,173.585357666,258.09352084,182.144275727,13.5238565079,0.0
858938171.995,858938181.995,858938175.313,858938172.05,858938181.145,1.87791109073,0.476311803153,3.86849684689e-16,9.81202314495e-17,19.3958124329,0.245431379712,0.317627896923,1.85267242186,0.479239743382,3.81650518904e-16,9.87233871368e-17,19.4105034079,0.249783878133,0.324978150884,1.96225516001,0.466393705354,4.04224562962e-16,9.60771033029e-17,19.3481113005,0.231523122879,0.294660270913,15.0,17.7013177839,16.0,13.5822916001,9.02090520368,0.760859853526,0.988535492799,0.847435196415,274.735565186,174.130371094,258.279437609,182.143950049,13.523775314,0.0
858938181.995,858938191.995,858938186.774,858938182.7,858938190.455,2.97535012958,0.618399860656,6.12922126693e-16,1.27390371295e-16,18.8961548014,0.20502445353,0.252969150822,2.93000002262,0.622901223943,6.03580004659e-16,1.28317652132e-16,18.9128309407,0.209288781671,0.259503576648,3.03958276077,0.611967598151,6.26154048718e-16,1.26065325219e-16,18.8729650682,0.199158304276,0.244085328319,21.0,24.6701101788,11.0,9.30638917196,8.11628177962,0.52133013417,0.889404380996,0.851260874577,274.145690918,175.808197021,257.10167568,182.144457671,13.5235209774,0.0
953621881.995,953621891.995,953621885.953,953621883.19,953621890.46,1.3980999639,0.450755758036,2.88008592564e-16,9.28556861554e-17,19.7161544388,0.303411993001,0.422576053159,1.39892085124,0.45064214421,2.88177695356e-16,9.28322817072e-17,19.7155171413,0.303189960836,0.42214286152,1.51335741772,0.434513065577,3.1175162805e-16,8.95096915088e-17,19.6301462255,0.274046417126,0.367456793632,10.0,12.1304619417,20.0,16.491996421,8.01559618349,0.923857206916,0.917277305472,0.824377148927,288.312408447,266.295654297,174.215298314,182.144250829,13.5236436986,0.0
953621891.995,953621901.995,953621897.755,953621892.215,953621901.34,1.26579704222,0.406741710492,2.60754190698e-16,8.37887923614e-17,19.8240898087,0.302530281576,0.42085734725,1.25556139031,0.408151311677,2.58645646404e-16,8.40791702056e-17,19.8329051193,0.30560095018,0.426860818285,1.36999795678,0.392103422605,2.82219579097e-16,8.07733050567e-17,19.7382002014,0.273277429277,0.366069751876,10.0,12.2078327999,20.0,16.5751918791,8.91084015088,0.928517693229,1.01972595126,0.819154013,288.423126221,265.718231201,174.588064295,182.144009266,13.5235353077,0.0
953621901.995,953621911.995,953621906.327,953621902.875,953621911.935,1.1312353207,0.386067035697,2.33034476064e-16,7.95298093535e-17,19.9461176083,0.318797938989,0.453246485052,1.11500181786,0.388420147952,2.29690374478e-16,8.00145504781e-17,19.9618110614,0.32451328948,0.464977845236,1.22943838433,0.371514444588,2.53264307172e-16,7.65319755851e-17,19.8557330797,0.286679419434,0.390644953626,9.0,10.9512105381,19.0,15.6152441065,8.90749034492,0.874742841149,1.01934261096,0.82187210078,288.346954346,265.263122559,174.986938788,182.144190222,13.5237925656,0.0
953621911.995,953621921.995,953621918.48,953621917.405,953621921.625,0.866175112989,0.342102248026,1.78432073276e-16,7.04730630935e-17,20.2359857465,0.361402342445,0.545535069169,0.840130208264,0.346347421403,1.73066822902e-16,7.13475688091e-17,20.2691334981,0.374782383758,0.577026635737,0.954566774737,0.327284610342,1.96640755596e-16,6.74206297305e-17,20.1304842151,0.320078407575,0.455858436516,7.0,8.50670670368,17.0,14.0616027568,8.91158893103,0.787710154432,1.01981163909,0.822884762735,288.146942139,264.255126953,175.89137873,182.144086706,13.5240519118,0.0
953621921.995,953621931.995,953621925.217,953621922.575,953621930.54,1.53087567518,0.440553051971,3.15360389087e-16,9.07539287061e-17,19.617650194,0.274602895747,0.368462247489,1.51529070572,0.44253462171,3.12149885379e-16,9.11621320722e-17,19.6287601014,0.278194957596,0.374987432907,1.6297272722,0.427770745826,3.35723818073e-16,8.81207736401e-17,19.549712667,0.253061230869,0.330565433131,12.0,14.5146879863,19.0,15.7161021228,8.9062067218,0.880392757807,1.01919571754,0.826772897809,287.88973999,263.72467041,176.464375595,182.144315029,13.5237570003,0.0
953621931.995,953621941.995,953621936.285,953621932.15,953621941.575,2.06210929935,0.498965378,4.24794515665e-16,1.02786867868e-16,19.2942207981,0.235276403288,0.300781786642,2.02618356981,0.502988062243,4.1739381538e-16,1.03615540822e-16,19.3133030266,0.240748781559,0.309807848028,2.14062013628,0.490059426779,4.40967748073e-16,1.00952241916e-16,19.253650984,0.22382086125,0.282270259011,16.0,19.0801470479,15.0,12.4922336597,8.91337361757,0.699796422604,1.02001587249,0.838658237201,287.050842285,263.190002441,177.41050606,182.144111959,13.5237259853,0.0
953621941.995,953621951.995,953621946.929,953621942.215,953621950.91,2.33648031522,0.529899396797,4.81314944934e-16,1.0915927574e-16,19.1585946839,0.221928987035,0.27926176917,2.30520221737,0.533200260079,4.74871656778e-16,1.09839253576e-16,19.1732274284,0.225912371403,0.285612078497,2.41963878384,0.521021756794,4.98445589472e-16,1.073304819e-16,19.1206236573,0.211735892239,0.263282914335,18.0,21.5669810313,16.0,13.2316402116,8.91330605846,0.741216882222,1.02000814125,0.83486960753,285.955688477,262.554351807,178.598463594,182.144084841,13.52387783,0.0
953621951.995,953621961.995,953621956.537,953621953.85,953621960.09,1.91836603367,0.494586465648,3.95183402937e-16,1.01884811924e-16,19.3726713093,0.249043240836,0.323721799923,1.93497260132,0.492699453045,3.98604355873e-16,1.01496087327e-16,19.3633129502,0.246287997878,0.319068254645,2.0494091678,0.479494102152,4.22178288566e-16,9.87757850433e-17,19.3009283134,0.228258858356,0.289381293669,15.0,18.2679918834,25.0,20.8518593862,8.91378460216,1.16809027117,1.02006290415,0.821231880446,284.83480835,262.478485107,179.374436379,182.144141254,13.5237453822,0.0
953621961.995,953621971.995,953621966.594,953621961.995,953621971.465,1.52561847932,0.443724936532,3.1427740674e-16,9.14073369256e-17,19.6213851487,0.277188787154,0.373153529487,1.52601525208,0.443674782881,3.14359141929e-16,9.13970052734e-17,19.6211028143,0.27709753362,0.372987442675,1.64045181856,0.428964878059,3.37933074623e-16,8.83667648802e-17,19.5425913017,0.252211173635,0.329111855988,12.0,14.6245828772,22.0,18.2749578238,8.91497251654,1.02373606328,1.02019884499,0.820606579088,284.031524658,263.32409668,179.245613117,182.144067581,13.523788758,0.0
953621971.995,953621981.995,953621977.588,953621972.52,953621980.475,1.23360819914,0.402169954442,2.54123289022e-16,8.2847010615e-17,19.8520568819,0.306367891224,0.428368124574,1.22350738527,0.40357576924,2.52042521365e-16,8.31366084635e-17,19.8609835121,0.309507884025,0.434572405783,1.33794395174,0.387350246035,2.75616454059e-16,7.97941506832e-17,19.7639051984,0.276063102839,0.371107465803,10.0,11.9307616337,20.0,16.6085524467,8.91723574679,0.930386502802,1.02045784129,0.838214283513,283.325195312,264.742279053,178.627156739,182.14410968,13.5237942693,0.0
953621981.995,953621991.995,953621984.099,953621982.585,953621986.61,0.808758965563,0.432167716349,1.66604346906e-16,8.90265495679e-17,20.3104522297,0.464817536449,0.829872209845,0.789719870005,0.436264178715,1.62682293221e-16,8.98704208153e-17,20.3363173366,0.477529385636,0.872845215904,0.904156436478,0.411027613791,1.86256225914e-16,8.4671688441e-17,20.1893910543,0.406857387723,0.658207977778,4.0,4.83888339735,11.0,9.11395376001,5.35182099262,0.510550187482,0.612444018773,0.826636989548,283.028442383,265.465209961,178.274942216,182.144127997,13.5239614018,0.0
953622011.995,953622021.995,,,,-0.102722152026,0.33898123896,-2.11607633173e-17,6.98301352257e-17,,,,-0.114436566473,0.357788203473,-2.35739326934e-17,7.37043699155e-17,,,,0.0,0.0,0.0,0.0,inf,,,0.0,0.0,2.0,1.63925030831,0.893949084416,0.0918283737526,0.102300463822,,,,,,,4.0
953622021.995,953622031.995,953622027.867,953622022.7,953622031.71,2.01384974058,0.501060256141,4.14853046559e-16,1.03218412765e-16,19.3199323415,0.241238459482,0.310621415954,2.01440938964,0.500997766141,4.14968334266e-16,1.03205539825e-16,19.3196306572,0.241151387342,0.310476679873,2.12884595612,0.48805180298,4.3854226696e-16,1.00538671414e-16,19.2596394077,0.224106295985,0.282725342808,16.0,19.0264003484,22.0,18.346968822,8.93742466133,1.02777001271,1.02276819135,0.840950411908,302.680419922,276.111633301,157.541829588,182.14408858,13.5236648136,0.0
953622031.995,953622041.995,953622036.256,953622032.935,953622041.135,1.22777272472,0.40059899917,2.52921181292e-16,8.2523393829e-17,19.857205047,0.306588928025,0.428803125515,1.21635864542,0.402190346823,2.50569880956e-16,8.28512114456e-17,19.8673458843,0.310160508533,0.435868645273,1.33079521189,0.385938856959,2.7414381365e-16,7.95034045335e-17,19.7697219259,0.276479490575,0.371863603092,10.0,11.8900983453,20.0,16.4314022819,8.93458154871,0.920462813015,1.02244283531,0.84104749514,302.963928223,275.43170166,157.902692115,182.144360386,13.523811691,0.0
953622041.995,953622051.995,953622047.655,953622043.97,953622051.04,1.5709361196,0.438130850691,3.23612840637e-16,9.02549552424e-17,19.5896036868,0.267089721212,0.355008162366,1.5286876051,0.443493659019,3.14909646651e-16,9.13596937578e-17,19.6192031394,0.276570211014,0.372028454818,1.64312417158,0.428812499161,3.38483579345e-16,8.83353748272e-17,19.5408240388,0.251765231167,0.328350537132,12.0,14.6826990551,14.0,11.5151398308,8.93584265213,0.645061073852,1.02258715165,0.817411240723,304.383728027,275.345245361,157.102766748,182.144155229,13.5237954735,0.0
953622051.995,953622061.995,953622055.676,953622052.025,953622061.745,1.26555077168,0.403197460028,2.60703458967e-16,8.30586767657e-17,19.8243010676,0.300278113825,0.416485843682,1.24473562514,0.406075627286,2.5641553878e-16,8.36515792209e-17,19.8423072012,0.306550752453,0.428727977121,1.35917219162,0.389989637142,2.79989471473e-16,8.03378652512e-17,19.7468137991,0.273888777424,0.36717223062,10.0,12.1462670861,18.0,14.9352312291,8.93651824325,0.836649527187,1.02266446398,0.823469276864,305.570556641,274.783660889,156.831283083,182.144075985,13.5237528813,0.0
953622061.995,953622071.995,953622066.545,953622062.025,953622069.8,1.65723168271,0.450297750953,3.41389726637e-16,9.27613366962e-17,19.5315419313,0.260976052984,0.34424932565,1.62086220963,0.454790994536,3.33897615184e-16,9.36869448743e-17,19.555634758,0.268521743515,0.357552555122,1.7352987761,0.440498252049,3.57471547877e-16,9.07426399222e-17,19.4815643488,0.245610296887,0.317928484927,13.0,15.51887168,15.0,12.4629907429,8.94305458731,0.698158277727,1.02341246075,0.837703439087,306.659118652,273.80682373,156.96253651,182.143793127,13.5237096819,0.0
953622071.995,953622081.995,953622076.589,953622072.475,953622080.045,1.06636801812,0.388194878673,2.19671811733e-16,7.99681450066e-17,20.0102322213,0.337063484577,0.491416317279,1.09232199863,0.384437238841,2.25018331718e-16,7.91940712013e-17,19.9841232996,0.327397540027,0.470970294337,1.2067585651,0.367411006227,2.48592264411e-16,7.56866672827e-17,19.8759490251,0.288577808204,0.394196395681,9.0,10.7878886714,27.0,22.4038322898,8.93955840328,1.25502949401,1.02301236946,0.834288370647,306.902587891,272.850494385,157.588466963,182.144033776,13.5239701111,0.0
