#id, fuv_exp, nuv_exp, fuv_exp_agg, nuv_exp_agg
003204.64-100210.3, 185.0, 185.0, 939.0, 939.0
004227.73-010634.9, 3326.0, 3326.0, 3326.0, 3326.0
010348.36+002102.6, 5324.0, 5324.0, 6967.0, 6967.0
011508.65+005346.1, 8261.0, 8261.0, 12600.0, 12600.0
014442.66-003741.7, 4905.0, 4905.0, 4905.0, 4905.0
021654.59-064003.9, 84.0, 2934.0, 245.0, 4509.0
022138.87-044446.1, 33294.0, 69712.0, 59598.0, 97977.0
023037.56-061727.1, 142.0, 33808.0, 291.0, 35489.0
023318.94-052939.6, 140.0, 34598.0, 140.0, 34598.0
024727.34-000026.1, 1634.0, 1700.0, 4730.0, 6463.0
024932.84-010708.4, 1856.0, 3482.0, 1856.0, 3482.0
072728.49+420047.6, 221.0, 2777.0, 221.0, 2777.0
074107.32+165836.9, 2932.0, 2932.0, 2932.0, 2932.0
074544.23+353358.2, 103.0, 2231.0, 103.0, 2231.0
075025.29+172150.1, 486.0, 486.0, 486.0, 486.0
075214.57+271820.2, 2375.0, 2375.0, 2375.0, 2375.0
075445.62+085656.4, 577.0, 577.0, 687.0, 687.0
080354.90+305152.1, 4847.0, 4958.0, 4847.0, 4958.0
081121.52+072709.1, 2864.0, 2864.0, 2864.0, 2864.0
082026.85+444245.8, 219.0, 219.0, 1518.0, 4227.0
082154.86+302601.8, 4860.0, 4860.0, 4860.0, 4860.0
082900.96+084645.4, 1714.0, 1714.0, 4360.0, 4360.0
084035.48+065331.4, 0, 0, 3616.0, 3616.0
084311.70+280120.5, 2060.0, 3754.0, 2060.0, 3754.0
084409.75+383926.8, 138.0, 1961.0, 138.0, 1961.0
084638.30+313422.9, 2070.0, 2070.0, 2070.0, 2070.0
090215.30+282611.6, 1910.0, 1910.0, 2014.0, 2014.0
090245.84+054618.2, 1702.0, 1702.0, 4804.0, 4804.0
090552.87+122148.6, 410.0, 2096.0, 410.0, 2096.0
091416.42+004146.8, 5437.0, 5437.0, 5437.0, 5437.0
093003.42+054815.5, 1879.0, 3197.0, 3656.0, 6555.0
093447.40+261525.6, 193.0, 193.0, 462.0, 462.0
093635.06+602128.4, 118.0, 1941.0, 118.0, 1941.0
095747.79+163723.1, 195.0, 195.0, 489.0, 489.0
095918.27+153624.1, 1668.0, 1668.0, 1668.0, 1668.0
101153.59+061713.9, 1713.0, 3316.0, 3061.0, 4717.0
101336.63+074027.2, 1785.0, 3627.0, 1785.0, 3627.0
101416.34+535022.2, 1763.0, 1763.0, 1763.0, 1763.0
102423.17+001049.9, 299.0, 14233.0, 299.0, 14528.0
102437.82+601208.7, 118.0, 1818.0, 118.0, 1818.0
103223.27+122215.1, 100.0, 379.0, 1605.0, 2031.0
104010.00+063043.6, 701.0, 701.0, 1061.0, 1061.0
104826.86-000056.7, 4764.0, 7108.0, 4764.0, 7108.0
104933.74+134820.0, 4089.0, 6020.0, 4188.0, 8061.0
112056.38+044355.4, 1657.0, 1657.0, 1657.0, 1657.0
112616.66-010140.7, 3338.0, 4865.0, 3338.0, 4865.0
112620.47+090145.5, 139.0, 1794.0, 139.0, 1794.0
113503.20-011341.9, 993.0, 1969.0, 993.0, 1969.0
120834.50+133125.7, 109.0, 4133.0, 1134.0, 5158.0
121334.19+680622.9, 1789.0, 1975.0, 1789.0, 1975.0
121720.58+553358.3, 204.0, 204.0, 1022.0, 1022.0
122729.38+470353.3, 13988.0, 15233.0, 17248.0, 21095.0
125940.45+512234.7, 537.0, 1023.0, 537.0, 1023.0
130717.12-002639.4, 305.0, 2121.0, 305.0, 2121.0
134052.62+353713.0, 1669.0, 1669.0, 1669.0, 1669.0
134827.75+461725.4, 1771.0, 4895.0, 1771.0, 4895.0
135042.43-002004.7, 109.0, 1549.0, 109.0, 1549.0
141311.70+085309.3, 108.0, 1292.0, 108.0, 1292.0
144929.44+444432.8, 190.0, 190.0, 345.0, 345.0
150218.64+422607.1, 147.0, 264.0, 285.0, 402.0
150323.11-004827.8, 1874.0, 1874.0, 1874.0, 1874.0
160614.41+363834.2, 1684.0, 1684.0, 2093.0, 3798.0
160625.39+515241.8, 1794.0, 2008.0, 1948.0, 3518.0
162820.24+394907.5, 1676.0, 3542.0, 1676.0, 3542.0
163434.48+314114.9, 116.0, 2204.0, 116.0, 2204.0
163645.41+281233.9, 179.0, 397.0, 289.0, 653.0
165634.74+231256.4, 92.0, 354.0, 92.0, 354.0
180525.06+230715.4, 0, 300.0, 0, 2866.0
190812.92+773029.6, 530.0, 2330.0, 530.0, 2330.0
191933.87+365013.4, 0, 5724.0, 0, 5724.0
192440.58+770918.9, 564.0, 2571.0, 564.0, 2571.0
204038.41-010215.7, 10608.0, 23389.0, 10608.0, 23389.0
205441.04+025655.3, 111.0, 1766.0, 252.0, 2068.0
231919.14+523235.8, 967.0, 2901.0, 1291.0, 3225.0
233240.02+272626.2, 144.0, 308.0, 144.0, 308.0
234734.06+210139.9, 316.0, 496.0, 316.0, 496.0
