#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
MCT,2357-1725,00:00:05.15,-17:08:51.60,0.001431,0.021458,-17.147667,sdO,,,16.5,,,,,,,,0.0193,0.0003,0.060,15.085,0.016,15.572,0.016,17.060,0.420,16.590,0.310,,,17.240,0.440,16.460,0.420,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3680,0.0054,17.6240,0.0127,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,7.0,5.5,-15.6,5.5,,,,,2.6,1.6,1.7,7.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,2357+174,00:00:15.75,17:38:53.13,0.004375,0.065625,17.648092,sdB,,,16.3,,,,,,,,0.0242,0.0005,0.075,15.286,0.018,15.479,0.010,16.500,0.430,16.270,0.430,16.670,0.230,16.610,0.430,16.080,0.320,16.620,0.212,16.401,0.067,16.348,0.046,16.764,0.046,,,15.990,0.006,16.321,0.004,16.797,0.004,17.157,0.006,17.445,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,-3.0,2.0,,,,,0.1,5.5,-2.8,5.5,-2.0,3.0,4.0,1.0,4.5,9.8,-3.0,5.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
HS,2357+2201,00:00:18.40,22:18:02.99,0.005111,0.076667,22.300831,sdB,,,14.1,27629,500,5.55,0.05,-2.54,0.05,Lisker05,0.0578,0.0044,0.179,13.529,0.006,13.694,0.005,14.260,0.400,14.160,0.410,14.220,0.310,14.310,0.450,13.770,0.420,14.283,0.027,14.100,0.034,14.048,0.036,14.441,0.032,14.748,0.075,13.916,0.003,14.007,0.003,14.425,0.004,14.730,0.004,15.014,0.005,,,,,,,,,,,14.774,0.041,15.076,0.083,14.866,0.126,,,,,,,,,,,,,,,,,,,14.962,0.038,15.122,0.104,12.517,,9.218,,4.0,2.0,-10.0,2.0,6.1,1.8,-9.7,2.1,0.9,4.1,-9.5,4.1,4.0,2.0,-8.0,1.0,1.4,1.0,-13.1,1.2,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
MCT,2357-3331,00:00:20.05,-33:14:58.90,0.005569,0.083542,-33.249694,sdB,,,16.0,,,,,,,,0.0115,0.0003,0.036,14.826,0.012,15.247,0.006,16.560,0.390,16.250,0.240,,,16.780,0.390,,,,,,,,,,,,,,,,,,,,,,,15.5397,0.0032,16.2885,0.0016,16.7759,0.0023,17.1004,0.0040,17.3654,0.0111,,,,,,,,,,,,,,,16.889,0.004,17.090,0.008,17.208,0.009,17.294,0.023,17.335,0.037,17.391,0.173,17.241,,12.952,,9.165,,,,,,38.7,18.8,1.1,19.0,21.9,18.3,-26.4,18.3,10.0,6.0,-20.0,3.0,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PB,5670,00:00:22.83,-00:06:35.75,0.006342,0.095125,0.109931,sdB,,,,,,,,,,,0.0258,0.0006,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not covered,too faint,,,,,,,,,,,,,,,,
PG,2358+107,00:01:06.73,11:00:36.29,0.018536,0.278042,11.010081,sdB,,,14.0,27100,430,5.54,0.07,-2.72,0.11,Luo16,0.0709,0.0016,0.220,13.122,0.006,13.512,0.004,13.730,0.330,13.600,0.310,13.790,0.230,13.770,0.350,15.120,0.400,13.593,0.005,13.507,0.008,13.457,0.010,13.793,0.006,14.028,0.232,13.365,0.003,15.727,0.013,13.798,0.003,14.089,0.003,14.351,0.004,,,,,,,,,,,14.063,0.028,14.191,0.044,14.218,0.054,14.005,0.002,14.064,0.002,14.128,0.004,14.227,0.007,,,,,,,,,,,14.319,0.030,14.453,0.068,12.288,,8.544,,-3.0,2.0,-15.0,2.0,-6.4,1.7,-9.2,3.0,-5.4,1.7,-15.0,1.7,,,,,,,,,-3.7,6.5,-8.8,6.5,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,000111.65+000342.6,00:01:11.65,00:03:42.6,0.019903,0.298542,0.061833,sdOB,,,19.2,,,,,,,,0.0252,0.0007,0.078,18.474,0.050,18.831,0.041,18.970,0.300,19.320,0.260,,,18.600,0.550,19.200,0.280,,,,,,,,,,,19.218,0.023,19.243,0.010,19.317,0.013,19.410,0.016,19.570,0.059,,,,,,,,,,,,,,,,,19.050,0.056,19.248,0.132,,,,,,,,,18.837,0.058,18.745,0.145,18.644,0.248,,,,,,,,,6.0,3.0,-9.0,3.0,,,,,5.0,5.1,-7.8,5.1,,,,,8.8,2.9,-7.3,1.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
BPS,CS22957-23,00:01:32.28,-05:19:16.75,0.025633,0.384500,-5.321319,sdB,,,13.8,,,,,,,,0.0291,0.0010,0.090,13.658,0.009,13.961,0.004,13.550,0.380,13.780,0.240,,,13.200,0.380,14.000,0.370,13.618,0.068,13.767,0.050,13.633,0.040,13.655,0.078,13.544,0.067,13.859,0.004,13.766,0.004,13.750,0.003,16.898,0.018,13.704,0.006,,,,,,,,,,,12.740,0.027,12.337,0.023,12.306,0.023,,,,,,,,,,,,,12.731,0.001,12.369,0.001,12.263,0.001,12.182,0.025,12.180,0.024,11.984,0.285,8.750,,-11.0,2.0,-18.0,2.0,-13.7,2.5,-19.9,2.9,-15.5,4.0,-20.4,4.0,-16.0,2.0,-14.0,1.0,-11.0,7.6,-17.5,5.3,-0.8,6.3,-11.2,6.3,,,,,const,not covered,,,,,,,,,,,,,,,,
MCT,2359-3556,00:01:37.62,-35:39:53.08,0.027117,0.406750,-35.664744,sdB,,,14.2,,,,,,,,0.0085,0.0006,0.026,13.410,0.009,13.702,0.007,14.710,0.330,14.320,0.240,,,14.830,0.380,,,14.475,0.012,14.287,0.008,14.285,0.024,14.679,0.040,15.075,,,,,,,,,,,,13.7837,0.0014,,,14.7363,0.0010,15.0451,0.0015,15.2492,0.0035,15.065,0.040,15.126,0.104,15.263,0.200,,,,,,,,,,,,,,,,,,,15.302,0.039,15.316,0.093,13.018,,9.459,,,,,,6.6,2.0,-5.9,2.0,-3.9,13.7,-11.8,13.7,,,,,,,,,,,,,8.2,7.3,-9.2,6.3,const,const,,,,,,,,,,,,,,,,
MCT,2359-2844,00:01:38.45,-28:27:42.80,0.027347,0.410208,-28.461889,He-sdOB,,,15.9,38325,1000,5.65,0.10,-0.15,0.10,Stroeer07,0.0165,0.0008,0.051,,,15.009,0.010,16.310,0.350,16.010,0.370,,,16.550,0.330,15.750,0.320,16.159,0.121,16.039,0.131,15.957,0.074,16.442,,,,,,,,,,,,,,15.3482,0.0026,16.0186,0.0015,16.5354,0.0022,16.8328,0.0031,17.1202,0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,7.6,-15.2,11.4,8.9,6.3,-29.2,6.3,2.0,3.0,-12.0,3.0,5.3,1.3,-10.6,0.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
