t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
830378499.995,830378509.995,830378504.429,830378500.8,830378509.01,0.723763526465,0.660731020645,1.49095286452e-16,1.36110590253e-16,20.4310082666,0.70423639057,2.65008030195,0.197271387206,0.70552668565,4.06379057645e-17,1.45338497244e-16,21.8423397537,1.65131631203,,2.23965297627,0.510244963418,4.61368513111e-16,1.05110462464e-16,19.2045481709,0.222839609941,0.280708161989,16.0,19.2665525006,37.0,30.5311551904,8.60247221547,13.0403968737,17.5695308733,0.830606199529,447.229553223,422.853179932,52.468071535,195.941589724,-10.6630847084,0.0
830378509.995,830378519.995,830378515.325,830378510.855,830378519.42,1.29418387009,0.728417461435,2.66601877239e-16,1.50053997056e-16,19.8000100431,0.484785765172,0.898397060731,0.888297864651,0.760095943776,1.82989360118e-16,1.56579764418e-16,20.2086034547,0.671255891167,2.10166021443,2.93067945371,0.583499757237,6.03719967465e-16,1.20200949991e-16,18.912579201,0.197138964091,0.241054949523,21.0,25.2264001168,40.0,32.9802714311,8.60769678678,14.0864577767,17.5802014415,0.832594717745,445.768127441,424.027770996,51.6919265315,195.9435421,-10.6629830011,0.0
830378519.995,830378529.995,830378525.385,830378521.145,830378529.92,0.249858173483,0.600521715604,5.14707837375e-17,1.23707473415e-16,21.5857660978,1.32979855,,-0.364408070274,0.657224850034,-7.50680624764e-17,1.35388319107e-16,,,,1.67797351879,0.441381706753,3.4566254487e-16,9.09246315911e-17,19.5180372434,0.253546630841,0.331396840304,12.0,14.4524523425,35.0,28.7986517954,8.61303958653,12.3004140032,17.5911134774,0.830469790939,448.110931396,426.3387146,54.8487885609,195.941274612,-10.6626482141,0.0
830378529.995,830378539.995,830378534.123,830378531.18,830378538.5,0.43582294292,0.66395270328,8.97795262415e-17,1.36774256876e-16,20.9817247776,1.0049850233,,0.0739520040914,0.694872847292,1.52341128428e-17,1.43143806542e-16,22.9076251304,2.54219366283,,2.11633359315,0.495698740595,4.3596472019e-16,1.02113940563e-16,19.2660396858,0.228486057489,0.289747378206,15.0,18.2277314017,41.0,33.8877076353,8.6128819486,14.4740398438,17.5907915206,0.823084823678,449.688568115,427.785339355,56.929595857,195.941207383,-10.6626384806,0.0
830378539.995,830378549.995,830378545.44,830378541.155,830378549.075,-0.0548117528161,0.678115724082,-1.12912210801e-17,1.39691839161e-16,,,,-0.0898824176018,0.681112022315,-1.8515778026e-17,1.40309076597e-16,,,,1.95249917146,0.476170037845,4.02214829321e-16,9.80910277961e-17,19.3535228544,0.236943771509,0.303519170323,14.0,16.8134790499,49.0,40.470055944,8.61126052992,17.2854773335,17.5874799649,0.832863481761,451.185211182,428.175628662,58.4276637751,195.941974944,-10.6631400028,0.0
830378549.995,830378559.995,830378555.145,830378550.555,830378559.535,0.431594540133,0.61123006815,8.89084752675e-17,1.25913394039e-16,20.9923101449,0.957838322384,,-0.216887135761,0.669967744383,-4.46787499668e-17,1.38013355343e-16,,,,1.8254944533,0.460264923926,3.7605185738e-16,9.48145743288e-17,19.4265487058,0.244124981045,0.315437110934,13.0,15.7305996019,34.0,28.1221666829,8.61717195219,12.0114752359,17.5995533449,0.826687676064,452.115081787,428.797821045,59.5423903334,195.942371248,-10.6617252014,0.0
830378559.995,830378569.995,830378565.559,830378560.11,830378569.74,1.3516658503,0.657224532928,2.78443165162e-16,1.35388253783e-16,19.7528266462,0.430217245573,0.723084473116,0.494424729708,0.728992263259,1.0185149432e-16,1.50172406231e-16,20.844749538,0.98368580915,,2.53680631877,0.54259069536,5.22582101667e-16,1.11773683244e-16,19.0692817231,0.210445933892,0.261287991057,18.0,21.8589822598,29.0,23.9091910678,8.61673281797,10.2120387685,17.5986564653,0.823592119097,453.868286133,427.960479736,60.692509241,195.940981818,-10.6616168806,0.0
830378569.995,830378579.995,830378574.141,830378570.13,830378579.82,1.04740504743,0.606363468876,2.1576543977e-16,1.24910874588e-16,20.0297133439,0.495900143355,0.939087821379,0.0662005324686,0.693895964706,1.36373096885e-17,1.42942568729e-16,23.0278462935,2.65001812134,,2.10858212153,0.494555633755,4.34367917035e-16,1.01878460553e-16,19.2700237004,0.228766578161,0.290199655519,15.0,18.1781939466,26.0,21.4190645386,8.62105097119,9.14846164529,17.6074757819,0.825240518988,454.143493652,425.535186768,59.8628738713,195.941457059,-10.6631678614,0.0
830378579.995,830378589.995,830378586.156,830378580.165,830378589.535,0.656861573712,0.668649820726,1.35313484185e-16,1.3774186307e-16,20.5363153589,0.762274022334,,0.213732677387,0.706031581834,4.40289315418e-17,1.45442505858e-16,21.7553226847,1.58451400841,,2.25611426645,0.511500918417,4.64759538888e-16,1.05369189194e-16,19.1965972706,0.221861532424,0.279154752102,16.0,19.454915457,39.0,32.2877494522,8.62319597298,13.7906693798,17.6118566941,0.822552703524,453.336608887,423.727355957,58.3762046406,195.941284355,-10.6622676233,0.0
830378589.995,830378599.995,830378595.863,830378590.685,830378599.64,0.394134703433,0.558705276369,8.11917489073e-17,1.15093286932e-16,21.0908883099,0.958438237985,,-0.498413136312,0.644653372616,-1.0267310608e-16,1.32798594759e-16,,,,1.54396845275,0.422979317576,3.18057501266e-16,8.71337394206e-17,19.6084039442,0.262886014064,0.34759254745,11.0,13.3241213775,28.0,23.2320555474,8.6297886163,9.92282220049,17.6253213874,0.825847470407,450.854675293,420.885955811,54.9765509038,195.943488241,-10.6636339023,0.0
