t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
749841803.995,749841813.995,749841809.126,749841805.025,749841813.923,6.79816894834,1.1350168591,1.40042280336e-15,2.33813472975e-16,17.9990201163,0.167639181921,0.19833432079,7.42549151764,1.10072054824,1.52965125263e-15,2.26748432936e-16,17.9031869842,0.150077309998,0.174201006795,8.66892340383,1.02936933568,1.78579822119e-15,2.12050083149e-16,17.7350870858,0.121825308342,0.137242891868,68.0,70.9231274073,37.0,35.8337226724,8.18130742462,15.3052173164,10.1728985225,0.95892202384,115.860092163,342.482849121,289.902931808,6.71980054453,-35.567261479,0.0
749841813.995,749841823.995,749841819.385,749841814.123,749841823.911,7.67062636791,1.07457423304,1.58014903179e-15,2.21362292007e-16,17.8679229275,0.142347367354,0.163866873456,7.84283340056,1.06572754601,1.61562368052e-15,2.19539874479e-16,17.8438175257,0.138336414469,0.158571801473,9.08626528676,0.999528317411,1.87177064907e-15,2.05902833387e-16,17.6840364687,0.113311659953,0.126530237809,80.0,82.6381564348,31.0,30.1439477989,9.09484302151,12.8750137421,11.3088178129,0.96829392592,117.525131226,341.924316406,288.383141869,6.71956407509,-35.5671386838,0.0
749841823.995,749841833.995,749841829.336,749841824.206,749841833.832,8.21151495428,1.06366048428,1.69157208058e-15,2.19114059762e-16,17.7939417797,0.132247112128,0.150618966055,8.0065500617,1.07420327529,1.64934931271e-15,2.21285874711e-16,17.8213864413,0.136691138789,0.156412858898,9.2499819479,1.0085525098,1.90549628127e-15,2.07761817018e-16,17.6646477871,0.112361090943,0.12534585141,82.0,84.1171871156,23.0,22.1100121686,9.09376770565,9.4435776099,11.3074807308,0.974924619948,118.454460144,341.746459961,287.508897149,6.71984183211,-35.5674228635,0.0
749841833.995,749841843.995,749841838.336,749841834.03,749841843.776,8.25455982312,1.10255538652,1.70043932356e-15,2.27126409624e-16,17.7882652017,0.136120143588,0.155665360348,8.41356102129,1.09460098197,1.73319357039e-15,2.25487802286e-16,17.7675503778,0.132791809693,0.151326182327,9.65699290748,1.03027954664,1.98934053894e-15,2.12237586607e-16,17.6178952189,0.110062421754,0.122491361082,85.0,87.8564535762,31.0,29.8721397496,9.0977030239,12.7589197124,11.312374031,0.967542009171,119.742752075,341.067810059,286.386326534,6.71963980133,-35.5671931833,0.0
749841843.995,749841853.995,749841849.418,749841844.008,749841853.888,8.13006002577,1.07456318131,1.67479236531e-15,2.21360015349e-16,17.8047656198,0.134780657991,0.153915375307,8.07299803864,1.07747829219,1.66303759596e-15,2.21960528191e-16,17.8124128826,0.13602213754,0.155537150366,9.31642992483,1.01205513468,1.91918456452e-15,2.08483357744e-16,17.6568761958,0.111967759847,0.124856450793,82.0,84.7404367759,26.0,25.2646754314,9.09580573885,10.7909901363,11.3100148863,0.967695489054,120.11945343,340.240905762,286.189220084,6.71924460958,-35.5671999712,0.0
749841853.995,749841863.995,749841859.025,749841854.024,749841863.987,6.21227959147,0.995961121089,1.27972959584e-15,2.05167990944e-16,18.0968725163,0.161445719027,0.189717237696,6.37303224419,0.987046956113,1.3128446423e-15,2.03331672959e-16,18.0691347105,0.156340929824,0.182702382484,7.61646413038,0.915166684292,1.56899161086e-15,1.88524336964e-16,17.8756164972,0.123196632592,0.138986265037,67.0,69.2638134644,31.0,29.8971377437,9.09395912313,12.7695967982,11.3077187454,0.967339104083,119.865852356,339.896148682,286.50936044,6.71960600536,-35.5672373911,0.0
749841863.995,749841873.995,749841868.855,749841864.299,749841873.938,8.23237779152,1.06873276848,1.69586982505e-15,2.20158950307e-16,17.791186769,0.132523785912,0.150978087714,8.06903867521,1.07709862052,1.66222196709e-15,2.21882315827e-16,17.8129455073,0.13603979843,0.155560252093,9.31247056141,1.0116731924,1.91836893565e-15,2.08404677634e-16,17.6573377178,0.111972825455,0.124862751127,82.0,84.7323675764,24.0,23.0090090756,9.09880648939,9.82755510379,11.3137461152,0.967775780993,119.335655212,338.942321777,287.229027964,6.71942602711,-35.5672752221,0.0
749841873.995,749841883.995,749841878.442,749841874.133,749841883.601,7.78584781677,1.0832448946,1.60388465026e-15,2.23148448288e-16,17.8517352233,0.141433210124,0.162656047873,7.98854086523,1.07291448823,1.64563941824e-15,2.21020384576e-16,17.8238313471,0.136826234564,0.156589847697,9.23197275143,1.00722608154,1.90178638679e-15,2.07488572798e-16,17.6667637151,0.112428656461,0.125429959586,81.0,84.0107964231,32.0,30.8105059521,9.09998314392,13.1597125293,11.315209205,0.964235655648,118.322975159,338.663757324,288.277784418,6.71964167912,-35.5670464373,0.0
749841883.995,749841893.995,749841888.914,749841884.049,749841893.913,9.09657711102,1.10801110024,1.87389488487e-15,2.28250286649e-16,17.6828049866,0.124793697109,0.141022942904,8.88760163568,1.11833190789,1.83084593695e-15,2.30376373024e-16,17.7080385495,0.128682584719,0.146010952471,10.1310335219,1.05543646605,2.0869929055e-15,2.17419912007e-16,17.5658656191,0.107598273608,0.119446367021,89.0,92.1389617507,23.0,22.0269408218,9.09472479306,9.40809636705,11.3086708038,0.966180952098,116.890625,339.133880615,289.57831877,6.71966553735,-35.5672623098,0.0
749841893.995,749841903.995,749841898.97,749841894.096,749841903.945,9.68676934535,1.12015733505,1.99547448514e-15,2.30752411021e-16,17.6145526031,0.118808115666,0.133424652472,9.30565389191,1.13870909215,1.91696470173e-15,2.34574072983e-16,17.6581327609,0.12533765316,0.141718188595,10.5490857781,1.07700304822,2.17311167029e-15,2.21862627934e-16,17.5219629407,0.10554703255,0.116923352948,92.0,95.9391314719,19.0,18.3611572013,9.09454463543,7.84237528754,11.3084467901,0.959547003838,115.969161987,340.462524414,290.203769688,6.72001047457,-35.5673372814,0.0
