t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
764341682.995,764341692.995,764341689.065,764341685.684,764341692.899,-0.247281220523,0.507743042262,-5.09399314278e-17,1.04595066706e-16,,,,-0.230012458624,0.505672616045,-4.73825664765e-17,1.04168558905e-16,,,,0.93725291478,0.337459363861,1.93074100445e-16,6.95166289555e-17,20.1503580007,0.333888423616,0.484637519687,7.0,7.71384010519,25.0,22.8251605507,8.2302652609,9.74903014414,9.60690365298,0.907598084879,384.462341309,542.925354004,143.767436003,190.979527194,43.5586858288,0.0
764341692.995,764341702.995,764341697.817,764341693.747,764341702.991,0.201615004621,0.514289151538,4.15326909519e-17,1.05943565217e-16,21.8186928747,1.37583008401,,0.143386103358,0.520440454047,2.95375372917e-17,1.07210733534e-16,22.1887323436,1.66386890116,,1.31065147676,0.378504714445,2.69994204213e-16,7.79719711757e-17,19.7862819471,0.275456470397,0.370007314316,11.0,11.9903498772,26.0,23.7543357871,9.14838924745,10.1458973368,10.678597991,0.917632119664,385.64932251,544.514709473,145.22549087,190.978135493,43.5611390566,0.0
764341702.995,764341712.995,764341709.025,764341704.883,764341711.861,0.330429061237,0.471147334741,6.80683866149e-17,9.70563509566e-17,21.2823044087,0.962166708779,,0.0136329495159,0.506555067573,2.80838760027e-18,1.0435034392e-16,24.7435254338,3.95392629301,,1.18089832292,0.359226802492,2.43265054522e-16,7.40007213134e-17,19.8994687354,0.288358750289,0.393785678685,10.0,10.8065619244,20.0,18.2215824291,9.15113665133,7.78276043141,10.6818049404,0.925553293742,386.608459473,544.135620117,144.756382741,190.976983473,43.5609740579,0.0
764341712.995,764341722.995,764341718.795,764341713.183,764341722.565,0.557983081121,0.524224081252,1.14944514711e-16,1.07990160738e-16,20.7134474233,0.719223433043,3.04557864697,0.368760009187,0.54359426232,7.59645618925e-17,1.11980418038e-16,21.1631404572,0.983549231424,,1.53602538259,0.409758225728,3.16421228814e-16,8.44101944999e-17,19.614004019,0.256740370199,0.336892431483,13.0,14.0521062077,23.0,20.9485080447,9.1483554679,8.94747863649,10.6785585613,0.925225859989,387.006958008,544.017211914,144.602131615,190.978099747,43.5614648962,0.0
764341722.995,764341732.995,764341728.374,764341724.144,764341732.822,0.535678897118,0.503343827948,1.10349852806e-16,1.03688828557e-16,20.7577386554,0.719301271338,3.0480768588,0.260421297767,0.532370552018,5.364678734e-17,1.09668333716e-16,21.540808753,1.20870669493,,1.42768667117,0.394880609949,2.94103454261e-16,8.13454056494e-17,19.6934177375,0.26512666134,0.351535317433,12.0,13.0717638146,21.0,19.1215174624,9.15590519863,8.16713861567,10.6873711005,0.918103626633,388.098876953,543.449279785,143.942115452,190.977057523,43.5624497714,0.0
764341732.995,764341742.995,764341738.656,764341735.776,764341742.255,0.443462370712,0.511365184428,9.13532483667e-17,1.05341227992e-16,20.9628580641,0.832670423366,,0.251291162371,0.531496090275,5.17659794484e-17,1.09488194597e-16,21.579556962,1.23366632384,,1.41855653578,0.39366254268,2.9222264637e-16,8.10944837922e-17,19.7003833774,0.265910122912,0.352919253254,12.0,12.9850944087,23.0,20.8976498413,9.15373767713,8.92575619748,10.6848410277,0.924267472245,387.032562256,543.167297363,143.753363355,190.979717008,43.5626561485,0.0
764341742.995,764341752.995,764341747.963,764341744.267,764341750.635,0.163875470689,0.491245452535,3.37583469619e-17,1.01196563222e-16,22.0437151198,1.50451879509,,0.0196861767003,0.507017477444,4.05535240026e-18,1.04445600354e-16,24.3445965526,3.56851238112,,1.1869515501,0.36001134553,2.44512019322e-16,7.41623371791e-17,19.8939175201,0.287617262974,0.392397211931,10.0,10.8701017393,24.0,21.9361786941,9.15799953109,9.36933025556,10.6898157423,0.920115167239,385.862304688,542.121154785,142.822606986,190.980151291,43.5617562259,0.0
764341752.995,764341762.995,764341758.025,764341753.899,764341761.775,0.531214800905,0.503964841777,1.09430248986e-16,1.03816757406e-16,20.7668245825,0.724363889475,3.22476077946,0.26076058701,0.532472315085,5.37166809241e-17,1.09689296908e-16,21.5393951249,1.20789692438,,1.42802596041,0.394977198768,2.94173347845e-16,8.13653029462e-17,19.6931597434,0.265128296542,0.351538203038,12.0,13.0715820854,21.0,19.2196503859,9.1536025589,8.20905292454,10.6846833089,0.918128627543,386.178466797,541.646911621,142.31964851,190.977547501,43.5626150324,0.0
764341762.995,764341772.995,764341768.162,764341764.389,764341771.643,0.465564461915,0.485944095686,9.59062791545e-17,1.00104483711e-16,20.9100504456,0.776082191999,,0.147064738585,0.520491847724,3.02953361484e-17,1.07221320631e-16,22.1612286118,1.6424488246,,1.31433011199,0.378791884209,2.7075200307e-16,7.80311281472e-17,19.7832388552,0.274959484906,0.369107299177,11.0,12.0394759885,20.0,18.2030159621,9.16016142266,7.77483036469,10.6923392435,0.913742934661,385.010528564,541.598571777,142.389746061,190.977868307,43.5619509018,0.0
764341772.995,764341782.995,764341777.953,764341773.828,764341782.704,0.848588306624,0.519521890788,1.74809191165e-16,1.07021509502e-16,20.2582573925,0.518560092513,1.02853370513,0.49292668704,0.555642674967,1.0154289753e-16,1.14462391043e-16,20.8480441713,0.81953708123,,1.66019206044,0.425771631747,3.41999564451e-16,8.770895614e-17,19.5296041685,0.247871030819,0.32173808062,14.0,15.2041876592,19.0,17.4020881216,9.15808960991,7.43273990522,10.6899208882,0.9209246054,384.269622803,542.612426758,143.477346757,190.977706627,43.5623976172,0.0
764341782.995,764341792.995,764341790.283,764341786.286,764341792.98,-0.625517516078,0.383028283118,-1.28856608312e-16,7.89038263223e-17,,,,-0.808567654775,0.408299574329,-1.66564936884e-16,8.41097123119e-17,,,,0.358697718629,0.197957162297,7.38917300375e-17,4.07791754332e-17,21.1931784637,0.477143517364,0.87150786849,3.0,3.2833319274,23.0,21.0925305254,9.15347870053,9.00899318763,10.6845387333,0.913842848787,381.8203125,545.862976074,146.991526378,190.983416574,43.5632658495,0.0
764341792.995,764341800.995,764341796.727,764341794.241,764341799.214,-0.992650074399,0.464658594001,-2.04485915326e-16,9.57196703642e-17,,,,-0.872824535587,0.446709370523,-1.79801854331e-16,9.20221303276e-17,,,,0.294440837818,0.200490610771,6.06548125904e-17,4.13010658188e-17,21.4075048879,0.563867513747,1.24025052711,2.0,2.15679074822,24.0,22.0735212396,7.32503943476,9.4279916881,8.55026489101,0.927363730664,383.355102539,545.419311523,146.368810801,190.978812653,43.5624014662,0.0
