t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
764341682.995,764341692.995,764341688.726,764341684.32,764341692.448,-0.31463277775,0.498471319955,-6.48143522165e-17,1.02685091911e-16,,,,,,,,,,,0.865185664104,0.324225927265,1.78228246805e-16,6.67905410167e-17,20.2372267133,0.345557129757,0.509860931332,7.0,7.1207075155,23.0,22.7342923715,8.2302652609,9.71021873616,,0.983290403479,217.427581787,645.124328613,305.64460468,191.429427904,43.5690820783,32.0
764341692.995,764341702.995,764341696.701,764341693.982,764341702.695,-0.803058838641,0.483646205733,-1.6543012076e-16,9.9631118381e-17,,,,,,,,,,,0.668437151537,0.270307423232,1.37698053217e-16,5.56833291859e-17,20.5173485504,0.368717150694,0.562589930829,6.0,6.11512324972,32.0,31.5178181585,9.14838924745,13.4618180942,,0.981344981191,216.324569702,647.004638672,307.811557971,191.433327608,43.5698671849,32.0
764341702.995,764341712.995,764341707.866,764341703.411,764341711.969,0.31055083148,0.595655348271,6.3973471285e-17,1.22705001744e-16,21.3496682591,1.16273580772,,,,,,,,,1.7787112804,0.440874732698,3.66414523761e-16,9.08201949358e-17,19.4547363517,0.240416300214,0.309256008167,16.0,16.2772299902,32.0,31.4558183867,9.15113665133,13.4353368941,,0.983210320189,217.39112854,645.494506836,305.963319407,191.4303225,43.5681552987,32.0
764341712.995,764341722.995,764341717.201,764341713.188,764341720.715,0.471032919277,0.512229967042,9.70327813711e-17,1.05519373211e-16,20.8973718502,0.799045967318,,,,,,,,,1.4356871054,0.396148836113,2.95751543712e-16,8.16066602392e-17,19.6873505005,0.26456694011,0.350548294569,13.0,13.1341759808,21.0,20.661750466,9.1483554679,8.82499939821,,0.9900918281,217.301239014,644.581787109,305.285256525,191.431415351,43.5669726192,32.0
764341722.995,764341732.995,764341729.656,764341723.967,764341732.572,0.413039323082,0.495567762433,8.50861005548e-17,1.02086959061e-16,21.0400214993,0.855961797318,,,,,,,,,1.33080717052,0.381247427977,2.74146277127e-16,7.85369701633e-17,19.7697121694,0.273506195654,0.366482095502,12.0,12.1847442909,20.0,19.673723068,9.15590519863,8.4029954055,,0.984970084622,218.142715454,644.208557129,304.482990194,191.431655072,43.5683036532,32.0
764341732.995,764341742.995,764341737.615,764341733.317,764341741.4,-0.694645767582,0.49521152095,-1.43097028122e-16,1.02013573316e-16,,,,,,,,,,,0.775083030758,0.290987868395,1.59667104336e-16,5.99435008894e-17,20.356629428,0.346094649153,0.511043715242,7.0,7.09490674155,32.0,31.4983710187,9.15373767713,13.4535118765,,0.986701456815,218.744750977,643.459533691,303.522667759,191.430213737,43.5688858731,32.0
764341742.995,764341752.995,764341747.103,764341744.266,764341749.704,-0.0826021508239,0.449329083827,-1.70160430697e-17,9.25617912683e-17,,,,,,,,,,,0.88318352575,0.310545450534,1.81935806304e-16,6.39723628101e-17,20.2148726014,0.327136941245,0.470426845453,8.0,8.08819431468,21.0,20.7077925169,9.15799953109,8.84466477319,,0.989204711772,217.377746582,642.247192383,303.372031771,191.430964934,43.567598456,32.0
764341752.995,764341762.995,764341757.726,764341753.844,764341760.17,-0.38172533687,0.457832455807,-7.86354193951e-17,9.43134858962e-17,,,,,,,,,,,0.768483199731,0.289748477669,1.58307539145e-16,5.96881863998e-17,20.3659140561,0.347365950282,0.513848625203,7.0,7.03438978353,25.0,24.6502351247,9.1536025589,10.5285518039,,0.995169290301,216.392456055,642.838562012,304.437674071,191.432133745,43.5690616024,32.0
764341762.995,764341772.995,764341768.451,764341763.272,764341772.402,0.268965621829,0.458927513003,5.54069180967e-17,9.45390676787e-17,21.5057580658,1.08092712414,,,,,,,,,1.09911404673,0.346393565111,2.26417493625e-16,7.13570744128e-17,19.9773931045,0.297444061851,0.411022562012,10.0,10.0680620899,18.0,17.8037424441,9.16016142266,7.60429357682,,0.993323078142,214.898971558,642.592895508,305.145381222,191.432739021,43.5678746755,32.0
764341772.995,764341782.995,764341777.182,764341773.962,764341780.466,-0.460112772168,0.540583305656,-9.47832310667e-17,1.11360160965e-16,,,,,,,,,,,1.10807929839,0.347842766338,2.28264335468e-16,7.16556098656e-17,19.9685728968,0.296418216521,0.409055265311,10.0,10.1478895095,34.0,33.6245569035,9.15808960991,14.3616435077,,0.98553574626,214.634353638,643.577148438,306.088631106,191.43184754,43.5687671242,32.0
