t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
856015201.995,856015211.995,856015208.033,856015204.475,856015211.605,-0.758896333724,0.486645841313,-1.56332644747e-16,1.0024904331e-16,,,,-0.453234440811,0.451169702111,-9.3366294807e-17,9.29409586349e-17,,,,0.708438260974,0.27768808366,1.45938281761e-16,5.72037452339e-17,20.4542449792,0.35907638236,0.540191358535,6.0,6.508629193,34.0,31.5623336201,9.18729203594,13.4808314359,10.6726263615,0.923514145016,355.027252197,658.204101562,262.091407926,184.027883274,39.8386512089,0.0
856015211.995,856015221.995,856015218.366,856015214.675,856015221.365,-0.311721508302,0.542399332335,-6.42146307103e-17,1.11734262461e-16,,,,0.03451559132,0.506485508952,7.11021181192e-18,1.04336014844e-16,23.7349617047,2.98795707564,,1.1961882931,0.360751129116,2.4641478838e-16,7.43147325979e-17,19.8855011307,0.28618041883,0.389714392515,10.0,10.9947079384,35.0,32.4497938041,9.19145255123,13.8598813912,10.6774595185,0.910796575173,356.371337891,656.173156738,259.861783244,184.026804941,39.8403362732,0.0
856015221.995,856015231.995,856015226.891,856015222.04,856015231.455,-0.183357285052,0.474494230916,-3.77716007207e-17,9.77458115687e-17,,,,-0.219560220094,0.47863035147,-4.52294053393e-17,9.85978524027e-17,,,,0.942112481691,0.320295559602,1.94075171228e-16,6.5980885278e-17,20.1447431059,0.317742486525,0.451100552257,8.0,8.6517443795,26.0,24.1984296101,9.18334545783,10.3355776703,10.6680417294,0.925322017409,356.631134033,656.119262695,259.76515405,184.027551376,39.8397393312,0.0
856015231.995,856015241.995,856015238.341,856015233.4,856015241.01,-0.314220956501,0.406061742552,-6.47295170392e-17,8.36487189658e-17,,,,-0.561167573484,0.437902562445,-1.15600520138e-16,9.02079278636e-17,,,,0.600505128301,0.255629505726,1.2370405643e-16,5.26596781796e-17,20.6337081984,0.385063364282,0.602135557845,5.0,5.51837844494,21.0,19.6805962414,9.1895608961,8.40593105954,10.6752620344,0.907581348337,356.823394775,656.314331055,259.925480749,184.029329944,39.8387450414,0.0
856015241.995,856015251.995,856015246.674,856015242.005,856015251.515,-0.237424820191,0.506970207974,-4.89095129594e-17,1.04435862843e-16,,,,-0.0994640681041,0.491940768347,-2.04895980294e-17,1.01339798279e-16,,,,1.06220863368,0.339986696514,2.18814978538e-16,7.00372594818e-17,20.0144754323,0.301496723403,0.41884787818,9.0,9.76103357843,30.0,27.9614242829,9.18937510855,11.9428193112,10.6750462101,0.922539673133,357.300872803,654.291931152,257.851898796,184.028732385,39.8413195083,0.0
856015251.995,856015261.995,856015257.306,856015252.955,856015261.175,0.436528139438,0.45443614106,8.99247967242e-17,9.36138450584e-17,20.979969389,0.774620121904,,0.00589165711486,0.503341691976,1.21368136566e-18,1.03688388547e-16,25.6544063409,4.84169843423,,1.1675643589,0.356366173224,2.40518257933e-16,7.34114316841e-17,19.9117979269,0.289210852622,0.395384646463,10.0,10.7341759927,17.0,15.7354513591,9.19364822236,6.72088983953,10.6800101697,0.931914499187,356.161529541,653.397155762,257.161291878,184.027565242,39.8401592966,0.0
856015261.995,856015271.995,856015266.557,856015262.63,856015270.005,0.0895720614078,0.493778066297,1.845184465e-17,1.01718281657e-16,22.6995685771,2.03439182028,,0.00398059544598,0.503116214613,8.20002661872e-19,1.0364194021e-16,26.0801298955,5.26285709193,,1.16565329723,0.356060995578,2.4012457923e-16,7.3348565089e-17,19.9135765088,0.289409308226,0.395757566605,10.0,10.7174135566,25.0,23.1642412336,9.19434070326,9.89385750654,10.6808146059,0.933800731877,355.039398193,652.967163086,256.931588783,184.027674286,39.8397890587,0.0
856015271.995,856015281.995,856015278.453,856015274.31,856015280.95,0.3518249738,0.43425964587,7.24759446029e-17,8.94574870492e-17,21.21418334,0.872856587666,,-0.118658362426,0.48963549528,-2.44436226597e-17,1.00864912028e-16,,,,1.04301433936,0.336778655337,2.14860953908e-16,6.93764029994e-17,20.0342743021,0.303809141315,0.423351554342,9.0,9.59160843879,16.0,14.8816346194,9.19604657083,6.35620959494,10.6827962657,0.938680073093,353.820220947,653.62677002,257.796645564,184.029191093,39.8392648394,0.0
856015281.995,856015291.995,856015287.14,856015283.095,856015291.88,0.505266230778,0.519709794345,1.0408484354e-16,1.07060217635e-16,20.8211993166,0.767983584308,,0.332884632504,0.537441498183,6.85742342957e-17,1.10712948626e-16,21.2742656336,1.04347069102,,1.49455733429,0.403138843465,3.07878810863e-16,8.30466017538e-17,19.6437185497,0.259285256845,0.34130318198,13.0,13.7440861629,23.0,21.3000106388,9.19609161023,9.09761161707,10.6828485867,0.946225191809,353.020721436,653.795166016,258.106642509,184.029031418,39.8396823264,0.0
856015291.995,856015301.995,856015296.403,856015292.86,856015300.045,0.0207887528713,0.476366128412,4.28248309149e-18,9.81314224528e-17,24.2854289086,3.44665817829,,-0.10810264819,0.490860191196,-2.22691455272e-17,1.01117199386e-16,,,,1.05357005359,0.338515733564,2.1703543104e-16,6.97342411141e-17,20.0233414554,0.302506454007,0.420810957637,9.0,9.6865498623,24.0,22.2313837005,9.1940254274,9.49541753979,10.6804483585,0.929883237295,352.378204346,654.943908691,259.353488506,184.029562673,39.8392971298,0.0
