t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
842324331.995,842324341.995,842324337.237,842324332.01,842324341.88,8.72537945781,1.12804463311,1.79742816831e-15,2.32377194421e-16,17.7280391923,0.132007130357,0.150307640749,8.3463716775,1.14683863677,1.71935256556e-15,2.36248759174e-16,17.7762556984,0.139788454428,0.160483478734,10.0028607535,1.06225127449,2.06058931521e-15,2.18823762544e-16,17.5796894421,0.109578980232,0.12189274408,78.0,88.6735151121,30.0,26.5140871471,8.86481550604,11.3246359984,14.6844700463,0.879891095752,184.387313843,237.739028931,269.847092192,1.59384577797,1.16626116043,0.0
842324341.995,842324351.995,842324346.762,842324342.15,842324351.95,9.36832169442,1.15025181988,1.92987426905e-15,2.36951874895e-16,17.6508455116,0.125737628058,0.14222991451,8.89312643262,1.17331773053,1.83198404512e-15,2.41703452489e-16,17.7073638333,0.134554055609,0.153619820211,10.5496155086,1.09080069497,2.17322079477e-15,2.24704943163e-16,17.5219084209,0.10682969297,0.118499771913,82.0,93.5367877643,28.0,24.5220163275,8.86636936561,10.4737872858,14.6870439977,0.876747573449,187.714385986,237.677871704,267.233334844,1.59400414829,1.16676375624,0.0
842324351.995,842324361.995,842324357.427,842324352.29,842324361.925,9.21243033766,1.20095501184,1.89776064956e-15,2.47396732439e-16,17.6690644579,0.133044307512,0.151654293446,9.34152120395,1.19487590204,1.92435336801e-15,2.46144435819e-16,17.6539559902,0.130686316121,0.148596990053,10.9980102799,1.11392866294,2.26559011766e-15,2.29469304566e-16,17.4767146968,0.10474887892,0.115944495972,86.0,97.4795429792,42.0,37.0536580797,8.86337987491,15.8262733253,14.682091939,0.882357413765,189.428329468,237.554824829,265.9489864,1.59398802443,1.16651128601,0.0
842324361.995,842324371.995,842324366.552,842324361.995,842324371.975,9.90068935268,1.19270525049,2.03954200665e-15,2.45697281601e-16,17.5908364146,0.123497568491,0.139369516653,9.60062030884,1.20680877119,1.97772778362e-15,2.48602606864e-16,17.6242517643,0.128557750049,0.145850200792,11.2571093848,1.12675180372,2.31896453327e-15,2.32110871566e-16,17.4514327847,0.103572973008,0.114505276957,88.0,99.8153303204,32.0,28.1589842538,8.86687042902,12.0272006722,14.6878740037,0.881780095182,189.698287964,237.175338745,265.967442365,1.5941332561,1.16666192771,0.0
842324371.995,842324381.995,842324376.955,842324372.38,842324381.595,9.08211761914,1.12092904306,1.87091622954e-15,2.3091138287e-16,17.684532195,0.126356877133,0.143023027115,8.45062668034,1.1522839557,1.74082909615e-15,2.37370494874e-16,17.7627777088,0.138784927201,0.159161657109,10.1071157563,1.06807788066,2.0820658458e-15,2.20024043417e-16,17.5684319008,0.109069543443,0.121262583731,79.0,89.5465043957,24.0,21.2616468946,8.85974857266,9.08122578279,14.6760767265,0.882376969904,189.360641479,236.289093018,266.77743612,1.59397182999,1.16645938299,0.0
842324381.995,842324391.995,842324387.168,842324382.11,842324391.905,8.21840144115,1.07985157653,1.69299069688e-15,2.22449424764e-16,17.7930316218,0.134035021172,0.152943384344,7.62401497901,1.11044750333,1.57054708568e-15,2.28752185685e-16,17.8745406478,0.147631107052,0.170912061064,9.28050405499,1.02290392426,1.91178383533e-15,2.10718208397e-16,17.6610710879,0.113523329719,0.126794290583,73.0,82.3139495303,25.0,22.0556966935,8.86955590371,9.42037850894,14.6923224632,0.887027842066,189.358474731,235.614944458,267.193373146,1.59444620551,1.16634060647,0.0
842324391.995,842324401.995,842324397.302,842324392.005,842324401.62,9.49049304258,1.14805809316,1.95504156677e-15,2.36499967192e-16,17.6367780622,0.123984275713,0.139989865577,8.9358713479,1.17496718844,1.84078949767e-15,2.4204324082e-16,17.7021577313,0.134125668844,0.153061467993,10.5923604239,1.09263338127,2.18202624732e-15,2.25082476541e-16,17.517518125,0.106589341242,0.118204057957,82.0,93.9802445473,26.0,22.8889344469,8.87245531558,9.77626910417,14.6971253073,0.872778935163,188.601150513,234.750259399,268.322474521,1.59407696451,1.16650610712,0.0
842324401.995,842324411.995,842324406.534,842324402.09,842324411.98,10.2255470806,1.24157726398,2.1064626986e-15,2.5576491638e-16,17.5557836184,0.124419922984,0.140545671209,10.2970657563,1.23832791626,2.1211955458e-15,2.55095550749e-16,17.5482162847,0.12329733578,0.139114486924,11.9535548323,1.16052483691,2.46243229545e-15,2.39068116403e-16,17.3862573049,0.100601849183,0.110884235034,93.0,106.092645069,41.0,35.9075946014,8.87540539679,15.336769325,14.7020120846,0.876805530869,187.585266113,234.268966675,269.419365635,1.59393916576,1.16680909926,0.0
842324411.995,842324421.995,842324415.93,842324412.055,842324421.595,8.96744798668,1.11330261446,1.84729428526e-15,2.29340338579e-16,17.6983278341,0.127060010096,0.14392482747,8.32677700618,1.14526737329,1.71531606327e-15,2.35925078898e-16,17.7788076643,0.139916974807,0.160652967287,9.98326608215,1.06064802909,2.05655281292e-15,2.18493493992e-16,17.5818183839,0.109625935061,0.12195085931,78.0,88.5936743978,24.0,21.1056358455,8.87421748241,9.01459070184,14.7000443174,0.880627760704,186.364425659,234.540664673,270.216487785,1.59412808388,1.16667233762,0.0
842324421.995,842324431.995,842324427.502,842324422.1,842324431.98,8.99119392707,1.14815176893,1.85218594898e-15,2.36519264399e-16,17.6954565878,0.130481413731,0.148332038557,8.68799240224,1.16293639768,1.78972643486e-15,2.39564897922e-16,17.7327014189,0.136394369148,0.156024239932,10.3444814782,1.07969761344,2.13096318451e-15,2.22417708368e-16,17.5432281841,0.107790690953,0.119683585218,81.0,91.7937621847,32.0,28.1155742396,8.8736938993,12.0086594866,14.6991770077,0.882783741036,185.115310669,235.515380859,270.611565981,1.59393409841,1.16660252338,0.0
