t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
749292055.995,749292065.995,749292061.735,749292057.4,749292065.902,2.40048271708,1.38766467858,4.94499439718e-16,2.85858923787e-16,19.1292535413,0.495320713572,0.936917889696,7.20462285055,1.15112678795,1.48415230721e-15,2.37132118317e-16,17.935971872,0.160935419117,0.189012467294,8.90265769611,1.05491114072,1.8339474854e-15,2.17311694988e-16,17.7062008119,0.121584105353,0.136936765669,60.0,71.2209221912,144.0,121.786457463,7.99996187906,52.0171519632,13.5842140338,0.842694269834,443.101593018,256.391326904,149.937314598,7.12252953821,-1.89601074704,0.0
749292065.995,749292075.995,749292070.888,749292066.169,749292075.917,2.45510314569,1.31397623168,5.05751248012e-16,2.70679103727e-16,19.1048256431,0.465413852738,0.83183948558,7.20333948075,1.09196183203,1.48388793303e-15,2.24944137399e-16,17.936165293,0.153245707158,0.178486903235,8.90137432631,1.00067986659,1.83368311122e-15,2.06140052517e-16,17.7063573384,0.115670585497,0.12947949455,67.0,79.1268369382,159.0,134.161448897,8.88928316432,57.3027298786,15.0943125651,0.846960420119,444.448028564,255.962051392,150.740034107,7.1222947905,-1.89581994316,0.0
749292075.995,749292085.995,749292080.835,749292076.574,749292085.937,3.18440107058,1.31894171771,6.55986620539e-16,2.71701993848e-16,18.8224305969,0.37626811217,0.580604926913,7.62575364553,1.11353271177,1.57090525098e-15,2.29387738624e-16,17.8742930724,0.147982997347,0.171384112522,9.32378849109,1.02417097398,1.92070042917e-15,2.10979220639e-16,17.6560189674,0.113155764465,0.126335836026,70.0,82.8781216048,152.0,127.768840667,8.8888890695,54.5723337357,15.0936433784,0.844944222222,445.637145996,256.227874756,150.84154962,7.12228526599,-1.89625819099,0.0
749292085.995,749292095.995,749292090.722,749292086.111,749292095.706,3.29871569996,1.33111711828,6.79535434191e-16,2.74210126366e-16,18.7841377814,0.368051054026,0.561020966569,7.82470725171,1.12365247259,1.61188969385e-15,2.31472409353e-16,17.8463297547,0.145688340755,0.168312324863,9.52274209728,1.03514588138,1.96168487204e-15,2.13240051565e-16,17.6330949436,0.112037567918,0.124943280163,72.0,84.6293349689,155.0,129.503873728,8.88707623334,55.3133970713,15.0905651194,0.851030385125,446.238891602,255.524230957,151.694703062,7.12236528313,-1.89636974188,0.0
749292095.995,749292105.995,749292101.396,749292096.032,749292105.932,1.67429659941,1.24669104865,3.44905099478e-16,2.56818356022e-16,19.5204190121,0.604243313305,1.4819726525,6.04428550334,1.03074386585,1.24512281369e-15,2.12333236366e-16,18.1266375746,0.170958192106,0.203000860125,7.7423203489,0.933452363895,1.59491799187e-15,1.92291186962e-16,17.8578221578,0.123592572517,0.139490557527,59.0,68.7951709268,151.0,126.236956914,8.88560119273,53.9180390661,15.088060449,0.857733569133,446.561157227,255.038604736,152.255533492,7.12271364041,-1.89643525526,0.0
749292105.995,749292115.995,749292110.444,749292106.112,749292115.635,1.79776321087,1.27265491494,3.7033922144e-16,2.62166912477e-16,19.4431687779,0.581162580868,1.33620902326,6.39568278634,1.04982140687,1.31751065399e-15,2.16263209815e-16,18.0652827114,0.165017992806,0.194673055776,8.09371763191,0.95446330303,1.66730583217e-15,1.96619440424e-16,17.8096298776,0.121033068917,0.136237988512,61.0,71.9080691013,156.0,130.961482064,8.88443016813,55.9359673954,15.0860720085,0.848559291064,446.073760986,254.361633301,152.75249689,7.12240910117,-1.89603332371,0.0
749292115.995,749292125.995,749292121.555,749292116.022,749292125.902,3.5601490314,1.3850254832,7.33390700469e-16,2.8531524954e-16,18.7013295541,0.356783610119,0.534960620503,8.59881253193,1.16225982946,1.77135538158e-15,2.39425524868e-16,17.7439037982,0.13764762899,0.157667051546,10.2968473775,1.07685535376,2.12115055976e-15,2.21832202874e-16,17.5482393111,0.107993993906,0.119934325556,77.0,91.4310712113,166.0,140.051918154,8.87952087268,59.8186535771,15.0777358537,0.842349851858,445.226501465,253.534439087,153.289259142,7.1224727387,-1.89606960329,0.0
749292125.995,749292135.995,749292131.404,749292126.199,749292135.861,3.3128534993,1.37283476882,6.82447820855e-16,2.82803962377e-16,18.7794944226,0.376427903198,0.580990770007,8.32857791946,1.14890895999,1.71568705141e-15,2.36675245759e-16,17.778572867,0.140305846632,0.161166082451,10.026612765,1.06246061109,2.06548222959e-15,2.18866885885e-16,17.5771143937,0.109352536746,0.121612557587,75.0,89.0600241186,164.0,139.619718627,8.8823639853,59.6340535079,15.082563558,0.842248451463,444.080047607,253.299224854,153.180181569,7.122470771,-1.89616880138,0.0
749292135.995,749292145.995,749292141.354,749292136.27,749292145.803,1.82355490386,1.3248566735,3.75652310196e-16,2.7292047474e-16,19.4277028909,0.592931642669,1.40770254131,7.00819687001,1.08234765006,1.44368855522e-15,2.22963615912e-16,17.9659842668,0.155928646912,0.182139240933,8.70623171557,0.990093374195,1.79348373341e-15,2.03959235084e-16,17.7304244458,0.116942365055,0.131075540619,66.0,77.3229001971,170.0,143.115844654,8.88132807892,61.1273108259,15.0808045529,0.853714067228,442.518493652,254.242126465,151.832736918,7.12234806649,-1.896443102,0.0
749292145.995,749292155.995,749292151.02,749292146.091,749292155.858,2.78482877224,1.16625514553,5.73674727081e-16,2.40248559979e-16,18.9680037567,0.379794391256,0.589165094207,5.73249650499,1.0139793228,1.18089428003e-15,2.08879740497e-16,18.1841405035,0.176832925074,0.211345644439,7.43053135055,0.914824421554,1.53068945821e-15,1.8845383084e-16,17.9024503228,0.126062462519,0.142645822497,56.0,65.9726975543,115.0,96.5713275585,8.87859756482,41.2473235987,15.0761680448,0.849074419801,441.677185059,255.019790649,150.851744629,7.12224788462,-1.89601048726,0.0
749292155.995,749292165.995,749292161.134,749292156.126,749292165.965,3.94616680953,1.34903278218,8.12910362764e-16,2.77900753129e-16,18.5895614013,0.319267237762,0.454202692845,8.3546245968,1.15038969599,1.72105266694e-15,2.36980277375e-16,17.7751826493,0.140064584984,0.160847688265,10.0526594424,1.06402958691,2.07084784513e-15,2.19190094904e-16,17.5742975749,0.109236217802,0.12146868288,75.0,89.2595167922,151.0,126.945650879,8.87919433698,54.2207348042,15.0771813847,0.840588738607,441.548370361,256.384307861,149.50496349,7.12224695164,-1.89631731568,0.0
749292165.995,749292175.995,749292166.61,749292166.03,749292166.97,0.611978499269,3.81494263597,1.2606757085e-16,7.8587818301e-16,20.6131595893,2.14841405223,,5.06851226913,3.08774026451,1.04411352744e-15,6.3607449449e-16,18.3177987447,0.516525404542,1.02011503215,6.7665471147,2.76071489793,1.39390870563e-15,5.68707268974e-16,18.0040822247,0.371502497406,0.569185887698,5.0,6.0074629693,15.0,12.7930482534,0.88781809503,5.46413738388,1.50754606188,0.832582334191,442.47567749,256.719818115,149.443613779,7.12308599174,-1.89498890669,4.0
779794315.995,779794325.995,779794322.036,779794318.197,779794325.96,2.52706109515,1.42713258001,5.20574585601e-16,2.93989311483e-16,19.0734606457,0.486105488493,0.903128201579,6.8554215971,1.1961801961,1.412216849e-15,2.46413120397e-16,17.9899145792,0.174620298936,0.208189871784,8.53880778162,1.09325926835,1.75899440301e-15,2.2521140928e-16,17.751506907,0.130805649754,0.148751348685,52.0,61.0025709447,120.0,100.555076777,7.14415554312,42.9488534139,12.0263727414,0.852614641828,376.98324585,251.690155029,150.085246067,7.12215944517,-1.8961792526,0.0
779794325.995,779794335.995,779794330.971,779794326.0,779794335.893,1.94198954135,1.32021217637,4.00049845518e-16,2.71963708332e-16,19.3593827833,0.563159813483,1.23652994654,7.06795242182,1.08110989103,1.45599819889e-15,2.22708637553e-16,17.9567659566,0.154535053325,0.180239455327,8.75133860634,0.990071558833,1.80277575291e-15,2.0395474112e-16,17.7248137803,0.11636835493,0.130354652724,66.0,78.1296368623,169.0,142.33094849,8.92773555873,60.7920677793,15.0288266986,0.844915827166,374.065093994,251.305480957,150.939323382,7.12252696029,-1.89633276219,0.0
779794335.995,779794345.995,779794340.579,779794336.01,779794345.975,2.78769479887,1.28850943062,5.74265128567e-16,2.65432942709e-16,18.966886938,0.412526776193,0.673474724657,7.11799091621,1.08396489589,1.46630612874e-15,2.23296768553e-16,17.9491064264,0.153899989426,0.179375626993,8.80137710073,0.993141700039,1.81308368275e-15,2.04587190208e-16,17.7186234274,0.116081187974,0.129994327913,67.0,78.537816551,148.0,125.638025605,8.92335547632,53.6622249012,15.0214533284,0.853154633565,371.482635498,251.187057495,151.520731041,7.12208855409,-1.89621895483,0.0
779794345.995,779794355.995,779794350.778,779794346.01,779794355.857,2.69937077246,1.27047648415,5.56070379127e-16,2.61718155735e-16,19.0018436469,0.418778139963,0.690656102491,6.86743572573,1.07097228566,1.4146917595e-15,2.20620290845e-16,17.9880134914,0.157347033019,0.184078756088,8.55082191025,0.978937671677,1.76146931351e-15,2.01661160365e-16,17.7499803465,0.117685207374,0.132009739198,65.0,76.296679925,144.0,122.240126067,8.92273055454,52.2109218555,15.0204013437,0.851984318216,371.628356934,250.984771729,151.692084128,7.12209918233,-1.89632803043,0.0
779794355.995,779794365.995,779794361.384,779794356.042,779794365.951,3.03165700797,1.35096680842,6.24521343642e-16,2.78299162534e-16,18.8757998374,0.400135323588,0.640480993561,7.9755316799,1.1274199706,1.64295952606e-15,2.32248513945e-16,17.8256008889,0.143556478929,0.16547202082,9.65891786442,1.04039754185,1.98973708007e-15,2.14321893621e-16,17.6176788175,0.111068793263,0.123739407452,73.0,86.1902838948,165.0,138.45745075,8.92338925588,59.1376283224,15.0215101925,0.847096126253,372.567504883,250.052734375,152.435967727,7.12199629178,-1.8959711939,0.0
779794365.995,779794375.995,779794371.202,779794366.121,779794375.98,2.20776832266,1.35122437356,4.54800274468e-16,2.78352220952e-16,19.2201162557,0.518433997509,1.02800961575,7.56416395982,1.10695809031,1.55821777572e-15,2.28033366603e-16,17.883097665,0.148285912952,0.171790752807,9.24755014434,1.01815956103,1.90499532973e-15,2.09740869573e-16,17.6649332627,0.113405710373,0.126647549089,70.0,82.493874594,174.0,147.030229322,8.9206193323,62.7992138136,15.0168473414,0.848739603364,373.247009277,249.216323853,153.13862839,7.12207430328,-1.89615015104,0.0
779794375.995,779794385.995,779794380.502,779794376.097,779794385.913,2.97935486328,1.33741972045,6.13747101835e-16,2.75508462413e-16,18.894694415,0.40259284243,0.646915589243,7.77774280002,1.11818743849,1.6022150168e-15,2.30346612328e-16,17.8528660563,0.145844477614,0.168520859711,9.46112898454,1.03028054962,1.94899257082e-15,2.12237793221e-16,17.6401425917,0.112227192056,0.12517920359,72.0,84.3286066613,161.0,135.262771471,8.91316531031,57.7731242469,15.0042993437,0.854009383876,373.003356934,248.744567871,153.645776009,7.12222648398,-1.89615533668,0.0
