t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
780745759.995,780745769.995,780745765.044,780745759.995,780745769.98,113.698520977,3.64293433727,2.34218953213e-14,7.50444473478e-16,14.9406129618,0.0342416372631,0.0353568054987,115.374587387,3.61735204906,2.37671650016e-14,7.45174522105e-16,14.9247245978,0.0335184555618,0.0345862781414,116.727741376,3.59656571261,2.40459147235e-14,7.40892536798e-16,14.9120647944,0.0329482179103,0.0339794546707,968.0,1053.34870362,70.0,64.000207707,9.02397914326,27.3356217048,12.2108333818,0.919141680138,284.611938477,708.517822266,329.389816779,1.48646284607,-34.8847119589,32.0
780745769.995,780745779.995,780745774.94,780745769.995,780745779.99,121.144968003,3.74452230513,2.49558634085e-14,7.71371594857e-16,14.8717365511,0.0330512840711,0.0340890847448,122.47294189,3.72481692259,2.52294260293e-14,7.67312286054e-16,14.8598996249,0.032528730395,0.0335334729953,123.82609588,3.70463008673,2.55081757512e-14,7.63153797867e-16,14.8479695494,0.0320066291604,0.0329788929169,1030.0,1117.20960685,62.0,56.6359822978,9.02240839392,24.190230664,12.208707916,0.92213853502,281.964324951,707.932983398,329.780446432,1.48644243149,-34.8846840458,32.0
780745779.995,780745789.995,780745784.91,780745779.995,780745789.98,113.684370305,3.64073823887,2.34189802828e-14,7.49992077207e-16,14.9407480985,0.0342255102321,0.0353396110944,115.297690464,3.61610294259,2.37513242357e-14,7.44917206173e-16,14.92544848,0.033529063835,0.0345975732645,116.650844454,3.59531020404,2.40300739576e-14,7.40633902032e-16,14.9127802823,0.0329582748305,0.0339901511345,957.0,1052.69616174,69.0,62.6769923914,9.0243338286,26.7704530187,12.2113133256,0.909195521078,279.35546875,708.326416016,331.089537336,1.48646625701,-34.8846754614,32.0
780745789.995,780745799.995,780745795.132,780745790.01,780745799.99,117.243225799,3.71040376093,2.41521045146e-14,7.64343174751e-16,14.9072806025,0.033827865372,0.0349158148214,119.373090322,3.67845433845,2.45908566063e-14,7.57761593721e-16,14.8877339075,0.03295158189,0.0339830325512,120.726244312,3.65801114669,2.48696063282e-14,7.53550296218e-16,14.8754957742,0.0324093014494,0.033406566102,989.0,1089.21429285,81.0,73.5732349257,9.02218319688,31.4244311009,12.2084031897,0.908057643013,277.735717773,709.716247559,332.975537705,1.4865166597,-34.884810434,32.0
780745799.995,780745809.995,780745805.004,780745799.995,780745809.99,118.448278537,3.72483861284,2.44003453786e-14,7.67316754245e-16,14.8961781167,0.0336172534803,0.0346914817141,120.433648461,3.69516934935,2.48093315831e-14,7.61204885967e-16,14.8781303919,0.0328119400174,0.0338345306953,121.786802451,3.67481062263,2.5088081305e-14,7.57010988261e-16,14.8659994298,0.0322765972978,0.033265586552,1003.0,1098.32414237,78.0,70.4915761399,9.0184167764,30.108200079,12.2033066428,0.91339610507,276.976959229,711.430358887,334.848528438,1.48656202399,-34.8846645473,32.0
780745809.995,780745819.995,780745814.913,780745809.995,780745819.98,114.080539117,3.65260991995,2.35005910582e-14,7.5243764351e-16,14.9369710878,0.034217988675,0.0353315919009,115.846160116,3.62571055831,2.3864308984e-14,7.46896375013e-16,14.9202958923,0.0334600520182,0.0345240972455,117.199314106,3.60495930403,2.41430587059e-14,7.42621616631e-16,14.9076873249,0.0328930688491,0.0339208021837,953.0,1056.9377444,73.0,65.8507624498,9.01829291803,28.1260263958,12.2031390434,0.902169119699,277.242919922,713.339660645,336.527924015,1.48654021771,-34.8846149571,32.0
780745819.995,780745829.995,780745824.977,780745820.0,780745829.98,118.709291018,3.73262079551,2.44541139497e-14,7.68919883876e-16,14.893788222,0.0336134771708,0.0346874602007,120.866165511,3.70046592582,2.48984300952e-14,7.62295980719e-16,14.8742381393,0.0327424400115,0.0337606357469,122.2193195,3.68014957419,2.51771798171e-14,7.58110812284e-16,14.8621503467,0.0322100934131,0.0331949488667,986.0,1102.9321135,82.0,74.1603872764,9.0242043403,31.6752142642,12.211138108,0.894241521065,278.743377686,714.997314453,337.529963955,1.48637304748,-34.8847205447,32.0
780745829.995,780745839.995,780745834.922,780745830.0,780745839.99,118.410018066,3.71961983283,2.43924637215e-14,7.66241685564e-16,14.8965288816,0.0335815552217,0.0346534666451,120.291558432,3.69149198808,2.4780061037e-14,7.60447349544e-16,14.8794121215,0.0328179147943,0.0338408837523,121.644712422,3.67112996133,2.5058810759e-14,7.56252772035e-16,14.8672669099,0.0322818544642,0.033271170878,974.0,1097.96110009,76.0,68.356433647,9.02596650713,29.1962429219,12.2135225911,0.887554180196,280.926849365,715.654785156,337.366801263,1.48635115265,-34.8846890898,32.0
780745839.995,780745849.995,780745844.979,780745840.005,780745849.99,122.313111703,3.76450631293,2.51965010109e-14,7.75488300463e-16,14.8613174626,0.0329124503266,0.0339414141977,123.796757669,3.74262327838,2.55021320799e-14,7.70980395347e-16,14.8482268242,0.0323375858499,0.0333303739223,125.149911659,3.72255277121,2.57808818018e-14,7.66845870869e-16,14.8364236315,0.0318239655852,0.0327849960238,997.0,1130.26262983,66.0,59.9832455279,9.0312698974,25.619906046,12.2206988948,0.882566109332,283.409851074,715.210388184,336.08161456,1.48649492186,-34.8845240771,32.0
780745849.995,780745859.995,780745855.116,780745849.995,780745859.985,118.388705016,3.70423173822,2.43880732332e-14,7.63071738074e-16,14.8967243248,0.0334506750928,0.0345141144942,119.791106432,3.68320828709,2.4676967925e-14,7.5874090714e-16,14.8839385594,0.0328801207127,0.0339070323888,121.144260422,3.66280872104,2.49557176469e-14,7.54538596533e-16,14.8717428927,0.0323408544753,0.0333338463537,976.0,1093.89895326,64.0,58.2553665759,9.02972166776,24.881898357,12.2186039017,0.893075748549,285.612030029,713.83404541,334.030561076,1.48663874989,-34.8845621502,32.0
