t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
750688158.995,750688168.995,750688165.15,750688161.464,750688168.922,0.0390413393363,0.61485160922,8.04251590328e-18,1.26659431499e-16,23.60118823,3.05995486517,,,,,,,,,1.52696917132,0.437571682144,3.14555649291e-16,9.01397665216e-17,19.6204243276,0.273576989015,0.366609747478,12.0,12.1776116764,28.0,27.7821688987,7.97502130699,11.8662561633,,0.985545333637,415.201782227,692.198730469,292.593903338,0.094605446414,0.109516349624,0.0
750688168.995,750688178.995,750688173.894,750688169.893,750688178.005,0.648544544697,0.584769951988,1.33600176208e-16,1.20462610109e-16,20.5501504736,0.697835064415,2.51823029216,,,,,,,,1.83902652489,0.455609695258,3.78839464127e-16,9.38555972232e-17,19.4185300169,0.240314628138,0.309087346437,16.0,16.2925878781,25.0,24.6931976569,8.85935447784,10.546901862,,0.982140552518,412.539306641,692.828857422,293.097209045,0.093375869868,0.110515031517,0.0
750688178.995,750688188.995,750688184.411,750688179.458,750688188.107,-0.372482659654,0.595260015657,-7.67314278887e-17,1.22623563225e-16,,,,,,,,,,,1.38353060495,0.395155306818,2.8500730462e-16,8.14019932045e-17,19.7275280736,0.272776236604,0.365167219412,12.0,12.2586290576,37.0,36.4278343479,8.86039601415,15.5589729305,,0.979103531929,412.713531494,692.554016113,292.830132034,0.0946033290224,0.109755474022,0.0
750688188.995,750688198.995,750688194.21,750688189.005,750688198.58,-0.139645131713,0.572837015088,-2.87668971329e-17,1.18004425108e-16,,,,,,,,,,,1.38422015262,0.395211957578,2.8514935144e-16,8.1413663261e-17,19.7269870806,0.272690638657,0.365013193848,12.0,12.267333811,32.0,31.6187006243,8.8622707795,13.5049067812,,0.978348075723,413.211700439,691.584899902,291.884057255,0.0957952388345,0.109793029432,0.0
750688198.995,750688208.995,750688204.628,750688200.015,750688208.382,-0.629462313314,0.596598649343,-1.29669236543e-16,1.22899321765e-16,,,,,,,,,,,1.26270012987,0.377434987011,2.60116226754e-16,7.77516073242e-17,19.8267494372,0.283948505601,0.385567152096,11.0,11.1922174537,40.0,39.2669130003,8.86371767047,16.7715936831,,0.983186988032,413.702667236,690.682739258,291.005529143,0.0961748156057,0.109303763396,0.0
750688208.995,750688218.995,750688214.223,750688209.982,750688218.882,0.288283017945,0.638473789383,5.93863016966e-17,1.31525600613e-16,21.4304523502,1.26786681211,,,,,,,,,1.95008910777,0.469140289385,4.01718356201e-16,9.66428996133e-17,19.3548638586,0.234056486515,0.298786017501,17.0,17.2783970749,35.0,34.4732133902,8.86031156526,14.7241197169,,0.984103019918,412.812713623,690.125244141,290.408028329,0.0948409545571,0.110207348892,0.0
750688218.995,750688228.995,750688224.482,750688221.273,750688228.655,-0.57369505848,0.652570043752,-1.18181182047e-16,1.34429429013e-16,,,,,,,,,,,1.59960887354,0.424908727714,3.29519427949e-16,8.75311979091e-17,19.5699654884,0.25576938065,0.335216954932,14.0,14.1721684569,46.0,45.0811924168,8.85977109236,19.2549753518,,0.987982321508,412.941650391,689.268066406,289.557421865,0.0955497251542,0.109497544491,0.0
750688228.995,750688238.995,750688234.11,750688231.178,750688238.044,0.451673722363,0.599781318329,9.30447868067e-17,1.23554951576e-16,20.9429379381,0.91741470652,,,,,,,,,1.81940705907,0.453165954522,3.74797854169e-16,9.33521866316e-17,19.4301753115,0.241469924538,0.311006320161,16.0,16.1192637459,29.0,28.3706434748,8.85962471429,12.1176040725,,0.992795815712,411.494995117,689.7578125,289.985732093,0.0946158124124,0.109669131591,0.0
750688238.995,750688248.995,750688245.739,750688240.108,750688248.585,0.238626439871,0.531922455933,4.91570466134e-17,1.09576025922e-16,21.6357035951,1.27270410124,,,,,,,,,1.37310274402,0.393615803108,2.82859165269e-16,8.10848554403e-17,19.7357424124,0.273660833174,0.366760962355,12.0,12.1691716575,24.0,23.5399664319,8.86253538602,10.0543363902,,0.986333421556,411.710449219,689.688720703,289.925317148,0.0960416307302,0.109437831401,0.0
750688248.995,750688258.995,750688254.281,750688250.184,750688258.595,0.474675921057,0.555901837886,9.77832397378e-17,1.14515778604e-16,20.8890069956,0.841708909704,,,,,,,,,1.60654904178,0.425789456482,3.30949102607e-16,8.77126280352e-17,19.5652650314,0.255255141432,0.334331269022,14.0,14.2363340055,24.0,23.4830420392,8.86143755045,10.0300229743,,0.983644898594,411.378143311,690.512084961,290.734816721,0.0958804125288,0.109926644328,0.0
