t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
845993961.995,845993971.995,845993967.011,845993961.995,845993971.99,194.897013806,4.83581190115,4.0148784844e-14,9.96177251637e-16,14.3554870376,0.0266106531341,0.0272792840738,199.909252841,4.77723010649,4.11813060852e-14,9.84109401938e-16,14.32791776,0.0256406693711,0.0262608738299,201.516472805,4.75829261063,4.15123933979e-14,9.80208277789e-16,14.3192236175,0.025338872254,0.0259443896195,1744.0,1793.57199901,142.0,137.937765515,8.90037411849,58.9156615584,14.3048589731,0.972436652228,150.037002563,564.894897461,299.452545984,7.28798440816,4.93966807312,32.0
845993971.995,845993981.995,845993977.065,845993971.995,845993981.99,194.20305961,4.83404214227,4.00058302797e-14,9.95812681308e-16,14.3593598305,0.0266949283558,0.0273678548493,199.440730145,4.7727590453,4.108479041e-14,9.83188363333e-16,14.3304653614,0.0256764257647,0.0262983822679,201.04795011,4.75379544498,4.14158777226e-14,9.79281861667e-16,14.3217508765,0.0253735115673,0.025980705516,1740.0,1788.62097103,147.0,142.573102984,8.89648946957,60.8954962504,14.2986154878,0.972892403775,150.05581665,564.87109375,299.42373377,7.28796487203,4.93974771898,32.0
845993981.995,845993991.995,845993987.074,845993981.995,845993991.99,200.467131765,4.88872614676,4.12962291436e-14,1.00707758623e-15,14.3248920584,0.0261597981577,0.0268056881541,204.911637958,4.83734850442,4.22117974193e-14,9.96493791911e-16,14.3010834379,0.0253331151795,0.0259383541258,206.518857922,4.8186344848,4.2542884732e-14,9.9263870387e-16,14.2926007133,0.025042088473,0.0256333384052,1771.0,1836.84055996,130.0,126.021150907,8.89429942837,53.8258644997,14.2950956099,0.964329631305,151.293029785,564.386230469,298.124118114,7.28788782306,4.93973179204,32.0
845993991.995,845994001.995,845993997.041,845993992.0,845994001.99,207.354428803,4.99703309793,4.27150123334e-14,1.02938881817e-15,14.2882167107,0.0258548486089,0.0264855855707,213.056735413,4.93243077673,4.38896874951e-14,1.01608074001e-15,14.2587618295,0.0248491049952,0.0254311709385,214.663955377,4.91406891113,4.42207748077e-14,1.01229819569e-15,14.2506021816,0.0245743642916,0.0251434823532,1820.0,1908.25219204,157.0,152.131210061,8.88948584166,64.9779329901,14.2873591172,0.953971909519,152.680419922,563.696655273,296.586529764,7.28779572331,4.93974855866,32.0
845994001.995,845994011.995,845994006.986,845994001.995,845994011.98,222.545284831,5.14190740671,4.58443286752e-14,1.05923292578e-15,14.2114540072,0.024800511089,0.0253802760668,227.228479671,5.09044210811,4.68090668123e-14,1.04863107427e-15,14.1888430932,0.0240545517024,0.024599579686,228.835699636,5.07265944956,4.71401541249e-14,1.04496784661e-15,14.1811905556,0.0238049113439,0.0243385593659,1973.0,2035.0549536,135.0,130.973693819,8.89308336435,55.9411832522,14.2931411275,0.969689677226,153.987640381,562.720458984,294.957672993,7.2877687866,4.93970559329,32.0
845994011.995,845994021.995,845994017.016,845994011.995,845994021.99,215.704772102,5.05787392853,4.4435183053e-14,1.04192202928e-15,14.2453506169,0.025164593952,0.0257617120463,219.950181494,5.01043998725,4.53097373878e-14,1.03215063737e-15,14.2241891883,0.0244554461444,0.0250190060752,221.557401459,4.99236492079,4.56408247005e-14,1.02842717368e-15,14.2162843428,0.0241933894878,0.0247447995888,1902.0,1969.51766251,126.0,121.808351639,8.88942391247,52.0265033534,14.2872595834,0.965785421906,155.490341187,561.791625977,293.191922619,7.28781781062,4.93967523736,0.0
845994021.995,845994031.995,845994026.948,845994022.0,845994031.985,221.755409246,5.125616991,4.56816143046e-14,1.05587710015e-15,14.2153144442,0.0248098890317,0.0253900977005,225.964746183,5.07918450519,4.65487377136e-14,1.04631200807e-15,14.1948982797,0.0241346909217,0.0246833981217,227.571966147,5.06134316107,4.68798250263e-14,1.04263669118e-15,14.1872030958,0.0238828426655,0.02442003004,1947.0,2021.64993461,125.0,120.977777898,8.88356315953,51.671750605,14.2778400643,0.963142186084,155.750808716,561.286621094,292.69615916,7.28776924754,4.93973609143,0.0
845994031.995,845994041.995,845994036.949,845994031.995,845994041.99,220.655952659,5.1143379096,4.54551262478e-14,1.05355360938e-15,14.2207108801,0.0248778599377,0.02546128965,224.947286286,5.06690990625,4.63391409749e-14,1.04378344069e-15,14.1997981042,0.0241847066573,0.0247357165107,226.55450625,5.0490321688,4.66702282875e-14,1.04010062677e-15,14.1920682378,0.0239312133654,0.0244706035749,1944.0,2013.39568868,127.0,122.731032194,8.88702556401,52.4205965528,14.2834049099,0.96563715109,155.21534729,561.142028809,293.063610247,7.28780433577,4.93976042177,0.0
845994041.995,845994051.995,845994042.5,845994041.995,845994042.99,220.143171081,16.1478807392,4.53494932427e-14,3.32646343228e-15,14.2232369549,0.076855143685,0.0827126927287,224.121494934,16.0084165325,4.61690279564e-14,3.2977338057e-15,14.2037912234,0.0749068752837,0.0804603432455,225.728714898,15.9517279959,4.65001152691e-14,3.28605596716e-15,14.1960329773,0.0741367476082,0.0795724147294,194.0,200.243370652,12.0,11.6008344389,0.887097464505,4.95492175797,1.42576075525,0.968912937817,155.028411865,561.331848145,293.324128259,7.28783965112,4.93970257663,4.0
846230541.995,846230551.995,846230547.099,846230541.995,846230551.985,276.44767257,5.68380334496,5.69482205494e-14,1.17086348906e-15,13.9759676552,0.0220965071402,0.0225555659636,279.996829892,5.64854349947,5.76793469578e-14,1.16359996089e-15,13.9621172142,0.0216851996426,0.0221271560503,281.697793943,5.63156666138,5.80297455523e-14,1.16010273224e-15,13.9555413852,0.0214914012667,0.021925414215,2084.0,2502.12172247,133.0,109.180922333,8.88229079626,46.633104754,15.108457336,0.832968647761,419.242858887,111.032791138,289.607208846,7.28769950024,4.9403802978,0.0
