t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
750688306.995,750688316.995,750688311.306,750688308.014,750688315.462,-0.589098870693,0.617787137419,-1.21354367363e-16,1.27264150308e-16,,,,,,,,,,,1.23811424634,0.39262756919,2.55051534745e-16,8.0881279253e-17,19.8480981979,0.29906121677,0.41413488071,10.0,9.94397123022,34.0,34.3590201667,8.03154576377,14.6753457696,,1.00565457434,119.71787262,536.207885742,311.625831836,1.11066157291,0.641085996162,32.0
750688316.995,750688326.995,750688321.704,750688317.376,750688326.911,0.292076268135,0.88348561894,6.01677112359e-17,1.81998037502e-16,21.4162593225,1.51187306592,,,,,,,,,2.23298680286,0.646207034525,4.59995281389e-16,1.33118649112e-16,19.2077846091,0.275961869304,0.370923754601,12.0,11.9406769807,24.0,24.299690306,5.34740150073,10.3788279062,,1.00515923701,120.942909241,534.777404785,309.899675288,1.11013050583,0.640832276522,32.0
750688326.995,750688336.995,750688330.896,750688327.071,750688336.257,0.537954670496,0.604403907781,1.10818662122e-16,1.24507205003e-16,20.753135794,0.817641912214,,,,,,,,,1.89579233043,0.461358539234,3.90533220069e-16,9.50398590822e-17,19.3855230951,0.236491546273,0.302775636355,17.0,16.8851295574,28.0,28.3148270234,8.90663459618,12.093763878,,1.00703272576,125.852966309,532.680908203,304.566609272,1.11088133934,0.640627484582,32.0
750688336.995,750688346.995,750688340.645,750688337.598,750688345.317,0.477773178041,0.607475590809,9.84212746764e-17,1.25139971707e-16,20.8819455875,0.890768842043,,,,,,,,,1.88173477178,0.45972097961,3.87637362987e-16,9.47025217997e-17,19.3936039747,0.23731886203,0.304136503684,17.0,16.7543727488,29.0,29.2669468278,8.90368451497,12.5004311018,,1.01513300153,128.383666992,531.748413086,301.882554493,1.11079776883,0.640578667819,32.0
750688346.995,750688356.995,750688351.911,750688347.504,750688355.702,-0.392439866434,0.54207109298,-8.08426124855e-17,1.11666645154e-16,,,,,,,,,,,1.1123872893,0.353398419474,2.29151781595e-16,7.28000744116e-17,19.9643599556,0.299536163274,0.415051526279,10.0,9.90792772277,31.0,31.3809335757,8.90690483262,13.4033522656,,1.00999754933,129.361740112,530.901062012,300.632925261,1.1101087902,0.640431160436,32.0
750688356.995,750688366.995,750688361.117,750688357.152,750688366.992,0.623084947894,0.611818202338,1.28355499266e-16,1.26034549682e-16,20.5936318501,0.742714096377,4.35687193368,,,,,,,,1.98138206253,0.471253005215,4.08164704881e-16,9.70781190744e-17,19.3375794325,0.231661766264,0.29488540708,18.0,17.6777988748,28.0,28.3731247415,8.92195362475,12.1186638654,,1.01843947147,130.135070801,529.724731445,299.425426376,1.1115754676,0.639789102916,32.0
750688366.995,750688376.995,750688370.728,750688367.618,750688375.328,-0.0914528740148,0.600645110156,-1.8839292047e-17,1.23732892692e-16,,,,,,,,,,,1.56168588411,0.418635587223,3.21707292126e-16,8.62389309679e-17,19.596015788,0.25785502872,0.338820859979,14.0,13.9160212009,34.0,34.4892009608,8.91089645014,14.7309482913,,1.00628365315,128.815856934,529.80255127,300.648535281,1.11079745831,0.640055121828,32.0
750688376.995,750688386.995,750688381.615,750688377.045,750688386.7,-0.673597873568,0.651864401399,-1.38761161955e-16,1.34284066688e-16,,,,,,,,,,,1.55605463848,0.417922909014,3.20547255528e-16,8.6092119257e-17,19.5999378937,0.258293415203,0.339580778738,14.0,13.8630033612,46.0,46.5074039702,8.90907235412,19.8641355544,,1.01025197188,127.105514526,529.096496582,301.889558666,1.1112456765,0.640995859293,32.0
750688386.995,750688396.995,750688391.758,750688387.535,750688396.373,0.260519588583,0.586364321899,5.36670352482e-17,1.20791050311e-16,21.5403990409,1.27995874587,,,,,,,,,1.66162906355,0.431896431241,3.42295587092e-16,8.89706648356e-17,19.5286648004,0.250860435567,0.326808455415,15.0,14.8016090347,29.0,29.2212874626,8.90789006967,12.4809291786,,1.0135716321,126.032432556,530.137512207,303.30512705,1.11082336935,0.639959296806,32.0
750688396.995,750688406.995,750688403.507,750688397.999,750688406.817,-0.506064412758,0.578170010705,-1.04249269028e-16,1.19103022205e-16,,,,,,,,,,,1.23604582095,0.372476708762,2.54625439115e-16,7.67302020049e-17,19.8499135735,0.285981444015,0.389343675862,11.0,11.0121190757,36.0,36.3382817539,8.90915117309,15.5207234323,,0.999185324002,124.418556213,531.44543457,305.324474009,1.11029393619,0.640501034319,32.0
