t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
841934404.995,841934414.995,841934410.794,841934405.5,841934414.63,1.04555496928,0.713470067905,2.15384323672e-16,1.46974833988e-16,20.0316328238,0.564812876478,1.24524435029,0.720900643314,0.739394004427,1.48505532523e-16,1.52315164912e-16,20.4353114673,0.766412700907,,2.7166772451,0.561398686662,5.5963551249e-16,1.15648129452e-16,18.9949048872,0.203952410052,0.251336591778,21.0,23.4171105178,38.0,33.7253073791,8.61976171814,14.4046758194,17.20311875,0.897000042075,197.963821411,289.536315918,230.262552231,319.842715414,-9.01993019793,0.0
841934414.995,841934424.995,841934419.38,841934416.05,841934423.445,-0.273481597872,0.523124761207,-5.63372091617e-17,1.07763700809e-16,,,,-0.953593620467,0.593797563331,-1.96440285816e-16,1.22322298046e-16,,,,1.04218298132,0.347791852402,2.14689694151e-16,7.16451215949e-17,20.0351400577,0.312657400624,0.440849532465,8.0,8.97943779892,30.0,26.5401137483,8.61598966774,11.3357524205,17.1955905801,0.891036494628,199.42237854,289.79006958,228.861554206,319.842715332,-9.02089804241,0.0
841934424.995,841934434.995,841934430.314,841934425.655,841934434.53,1.08764090472,0.650265400584,2.24054026372e-16,1.3395467252e-16,19.9887861689,0.508852066075,0.989077690956,0.370731963515,0.711338794168,7.63707844841e-17,1.46535791599e-16,21.1573499216,1.16298907325,,2.3665085653,0.523930291753,4.87500764451e-16,1.07929640101e-16,19.1447297983,0.21713926567,0.271705336846,18.0,20.401830935,29.0,25.8130365719,8.62106786097,11.0252048871,17.2057255193,0.882491501387,200.421585083,288.71862793,228.506208823,319.843984324,-9.02048757267,0.0
841934434.995,841934444.995,841934439.097,841934435.28,841934443.51,0.439640003452,0.613800258532,9.05658407111e-17,1.26442853258e-16,20.9722569935,0.948781775654,,-0.152436919806,0.667419549985,-3.14020054801e-17,1.37488427297e-16,,,,1.84333968198,0.46247256732,3.79727974487e-16,9.52693488679e-17,19.4159865691,0.243046424102,0.313633713311,14.0,15.8868864495,32.0,28.3243562014,8.61853439428,12.0978339586,17.2006692858,0.881474915017,200.48399353,289.096588135,228.26783304,319.842219151,-9.02005648561,0.0
841934444.995,841934454.995,841934451.094,841934444.995,841934454.82,0.512274180353,0.675277894238,1.05528481153e-16,1.39107246213e-16,20.8062438322,0.912875488928,,0.224753230432,0.699551123293,4.6299165469e-17,1.44107531398e-16,21.7007351433,1.53527264004,,2.22052983222,0.507670211146,4.57429145436e-16,1.04580063496e-16,19.2138584696,0.223548998285,0.281837101858,17.0,19.1315370317,39.0,34.458672669,8.61575321085,14.7179091175,17.1951186649,0.888646855491,199.777542114,288.207824707,229.3175159,319.841980742,-9.01931023619,0.0
841934454.995,841934464.995,841934459.102,841934455.085,841934462.96,-0.143046425022,0.538200324645,-2.94675635546e-17,1.10869266877e-16,,,,-0.819909305031,0.606834061937,-1.68901316836e-16,1.25007816759e-16,,,,1.17586729675,0.369493579107,2.42228663131e-16,7.61156772961e-17,19.9041042202,0.296679002551,0.409554869179,9.0,10.1275135335,30.0,26.5958169186,8.61280312964,11.3595442306,17.1892309619,0.88883691245,200.416671753,287.241973877,229.233237924,319.84254662,-9.02057391684,0.0
841934464.995,841934474.995,841934470.682,841934465.405,841934474.33,1.15370607436,0.729076531732,2.37663451317e-16,1.50189765537e-16,19.9247620519,0.53176249558,1.08521243328,0.871473578034,0.751200823169,1.79523557075e-16,1.54747369573e-16,20.229364439,0.67494290133,2.15021741432,2.86725017982,0.576813636235,5.90653537042e-16,1.18823609064e-16,18.9363360284,0.199014003442,0.243868311182,22.0,24.7092827821,39.0,34.5734139567,8.61776309442,14.7669171527,17.1991299436,0.890482204758,198.791748047,286.754058838,230.888292998,319.842257348,-9.01932163988,0.0
841934474.995,841934484.995,841934480.362,841934475.84,841934483.13,0.287135201637,0.598601281228,5.91498515372e-17,1.23311863933e-16,21.4347839036,1.22304523698,,-0.308350498303,0.653780115767,-6.35202026504e-17,1.34678703848e-16,,,,1.68742610348,0.442518344295,3.47609777317e-16,9.11587789248e-17,19.5119380922,0.252858783545,0.330218973271,13.0,14.5407553896,32.0,28.2509398436,8.61712128286,12.0664765325,17.1978490311,0.894564555738,198.506774902,286.512817383,231.254968333,319.842479243,-9.02044665167,0.0
841934484.995,841934494.995,841934490.129,841934485.325,841934494.795,0.145733651035,0.660964854963,3.00211321132e-17,1.36158760122e-16,22.1711003867,1.85787851826,,-0.0396882206895,0.677039037908,-8.17577346203e-18,1.39470041809e-16,,,,1.95608838109,0.476328863036,4.02954206505e-16,9.81237457854e-17,19.3515288164,0.2366240004,0.302993328319,15.0,16.8640992818,41.0,36.5418714698,8.62133809741,15.6076802041,17.2062648509,0.889626913067,198.220916748,286.800964355,231.362961835,319.842942835,-9.02188080026,0.0
841934494.995,841934504.995,841934500.844,841934495.07,841934504.68,1.25705992426,0.694624251867,2.58954344398e-16,1.43092595885e-16,19.8316100473,0.477633899729,0.873207807818,0.712323910366,0.738713606967,1.46738725535e-16,1.52175003035e-16,20.4483061939,0.772502797674,,2.70810051215,0.560506308071,5.57868705503e-16,1.15464299463e-16,18.9983380517,0.204244758128,0.25178139023,21.0,23.3436385157,33.0,29.2843614343,8.61993061592,12.5078691885,17.2034558322,0.899764468696,196.214797974,288.293029785,232.39375155,319.842058517,-9.01981325639,0.0
