t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
776279004.995,776279014.995,776279010.632,776279007.151,776279014.697,-0.0346157712242,0.638632130901,-7.13084887218e-18,1.31558218966e-16,,,,-0.330149250043,0.667394280398,-6.80107455089e-17,1.37483221762e-16,,,,1.58706355126,0.449138687221,3.2693509156e-16,9.25225695676e-17,19.5785142058,0.270566482153,0.361201826702,12.0,12.4861257605,31.0,29.8710710007,7.86743905154,12.7584632308,15.0835548631,0.961135253201,122.165275574,379.791625977,278.568685386,338.846704617,7.06186673713,0.0
776279014.995,776279024.995,776279020.572,776279015.202,776279024.904,-0.564898410588,0.746155298007,-1.16369072581e-16,1.53707991389e-16,,,,0.233681341051,0.682195284986,4.81383562564e-17,1.40532228707e-16,21.6584399092,1.48303234822,,2.15089414235,0.496046113406,4.43084193325e-16,1.02185499362e-16,19.2484524079,0.225312755242,0.284652299544,18.0,18.8015637337,58.0,55.580692724,8.74127804038,23.7394978053,16.7588901588,0.957489478381,126.234535217,377.511444092,274.687576811,338.843334626,7.06186558213,0.0
776279024.995,776279034.995,776279029.703,776279025.323,776279033.827,-0.0196165484219,0.721890204093,-4.04100897491e-18,1.48709382043e-16,,,,0.349370114837,0.692018871857,7.19702436564e-17,1.42555887602e-16,21.2217856184,1.18581806953,,2.26658291614,0.50935257746,4.66916080725e-16,1.04926630957e-16,19.1915709724,0.220094397104,0.276357295676,19.0,19.8018700354,49.0,46.7628682519,8.73644193396,19.9732488716,16.7496183136,0.959654309281,125.671386719,377.123046875,275.280843956,338.843297389,7.06047456089,0.0
776279034.995,776279044.995,776279039.619,776279035.975,776279042.119,-1.07916662828,0.62981347178,-2.22308325425e-16,1.29741575187e-16,,,,-0.722539267321,0.596557214057,-1.48843089068e-16,1.22890786096e-16,,,,1.19467353398,0.369627998377,2.46102748e-16,7.61433676657e-17,19.8868768932,0.292678070017,0.401928310231,10.0,10.4464508305,49.0,46.5513073847,8.7441887121,19.88288748,16.7644705359,0.957305229124,125.065086365,377.164001465,275.881658623,338.843889542,7.0612976458,0.0
776279044.995,776279054.995,776279050.544,776279045.254,776279053.894,-0.335931021807,0.688886544515,-6.92017904923e-17,1.4191062817e-16,,,,-0.0121936675703,0.661444150437,-2.51189551949e-18,1.3625749499e-16,,,,1.90501913373,0.466965002372,3.92433941549e-16,9.61947904886e-17,19.3802516449,0.238031095262,0.305310269794,16.0,16.6429388933,48.0,45.8369066552,8.736363115,19.5777542814,16.7494672009,0.961521950694,124.916297913,376.362518311,276.097398928,338.843617991,7.06258196317,0.0
776279054.995,776279064.995,776279059.842,776279055.015,776279064.747,-0.890708795373,0.771596666708,-1.83486011847e-16,1.58948913342e-16,,,,0.237729291401,0.682772553266,4.89722340286e-17,1.40651145973e-16,21.6397932603,1.46985491824,,2.1549420927,0.496685763808,4.43918071097e-16,1.02317267344e-16,19.2464109891,0.225192421172,0.284459852134,18.0,18.8238209913,65.0,62.2880489767,8.73518646047,26.6043284009,16.7472113038,0.956403204518,123.085189819,375.843444824,277.966457069,338.844412679,7.06118938865,0.0
776279064.995,776279074.995,776279068.937,776279065.58,776279073.775,-0.29861805539,0.759878394534,-6.15153194103e-17,1.56534949274e-16,,,,0.456246114322,0.700733839152,9.39866995502e-17,1.44351170865e-16,20.9320020531,1.01031663854,,2.37345891562,0.521172277018,4.88932536619e-16,1.07361489066e-16,19.1415457037,0.215528798126,0.269183811364,20.0,20.7396214432,57.0,54.6664029712,8.73814217161,23.3489884662,16.752878031,0.964752922698,122.961547852,375.226837158,278.143872063,338.843958226,7.06237094931,0.0
776279074.995,776279084.995,776279079.563,776279075.125,776279084.495,-0.661562521831,0.67964143591,-1.36281879497e-16,1.40006135797e-16,,,,-0.230515728808,0.642313976352,-4.74862401344e-17,1.32316679129e-16,,,,1.6866970725,0.439419126912,3.47459596934e-16,9.05203401439e-17,19.5124072721,0.251374763352,0.327684619877,14.0,14.7338508301,50.0,48.02614311,8.73532720862,20.5128159272,16.7474811479,0.950656894255,121.344673157,375.273742676,279.750208185,338.844831933,7.06115445047,0.0
776279084.995,776279094.995,776279086.454,776279086.454,776279086.454,-1.291985801,1.18750960272,-2.66149075005e-16,2.4462697816e-16,,,,-1.3310474098,1.19688414157,-2.74195766419e-16,2.46558133164e-16,,,,0.586165391504,0.579160543419,1.2075007065e-16,1.19307071944e-16,20.6599495671,0.746068097126,4.80655363009,1.0,1.02433594411,8.0,7.68431602636,1.74752033974,3.28210741001,3.35036836589,0.976242223806,123.692993164,376.567993164,277.29879367,338.845318741,7.06626907044,4.0
776284944.995,776284954.995,776284949.809,776284945.387,776284954.495,-0.0941883621275,0.675981740523,-1.94028025983e-17,1.39252238548e-16,,,,0.107696859361,0.658691244189,2.21855530284e-17,1.35690396303e-16,22.4994924034,2.13061429006,,1.95167264602,0.472326582507,4.0204456508e-16,9.72992759965e-17,19.3539825619,0.23531375508,0.300842987066,17.0,17.0737600561,42.0,41.9035436678,8.74827040844,17.8977453173,16.1315988083,0.99585103912,166.855056763,526.769042969,265.380773253,338.845605072,7.06190522206,0.0
