t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
865511300.995,865511310.995,865511306.334,865511302.32,865511310.255,1.03733205082,1.07479107218,2.1369040247e-16,2.21406960869e-16,20.0402055084,0.772003586197,,,,,,,,,4.5389359978,0.807529641789,9.35020815546e-16,1.66351106209e-16,18.4376148527,0.177781802845,0.212703779901,27.0,31.5930221653,66.0,57.0632580401,6.96044671718,24.3727276976,,0.854695847403,592.052246094,344.357879639,199.950270787,229.846191595,-33.7133527642,0.0
865511310.995,865511320.995,865511314.854,865511311.235,865511318.79,2.81736224199,1.11572565125,5.8037662185e-16,2.29839484157e-16,18.9553932752,0.362227404554,0.547439685474,,,,,,,,5.25995947303,0.922000517534,1.08355165144e-15,1.89932106612e-16,18.277544005,0.175359479964,0.209242398705,28.0,32.5463631804,41.0,35.3854201493,6.18756919085,15.1137393725,,0.860445041468,594.789611816,344.254058838,202.609483558,229.846308381,-33.7126746498,0.0
865511320.995,865511330.995,865511326.664,865511323.405,865511330.465,-0.113776338453,1.01977005667,-2.34379257212e-17,2.10072631674e-16,,,,,,,,,,,3.16168715451,0.714685328293,6.5130755383e-16,1.47225177628e-16,18.8302027631,0.221266518066,0.27821150322,17.0,19.570776456,55.0,47.4694667028,6.18997879916,20.2750495789,,0.86876869477,596.087158203,344.1796875,203.877612552,229.847673153,-33.7121732321,0.0
865511330.995,865511340.995,865511336.343,865511331.405,865511340.93,1.21774920505,1.33501307421,2.50856336241e-16,2.75012693287e-16,19.8661053632,0.803631297925,,,,,,,,,3.36436874748,1.04309189247,6.9305996198e-16,2.1487692985e-16,18.7627410249,0.293212131385,0.402941622216,9.0,10.4030824482,18.0,15.540534684,3.09213502711,6.63763747701,,0.865298148291,596.704650879,343.299468994,204.713628989,229.846905374,-33.7120378241,4.0
865511340.995,865511350.995,865511348.018,865511341.715,865511350.645,0.39482768943,1.27402363314,8.13345040227e-17,2.62448868427e-16,21.0889809942,1.56502511232,,,,,,,,,3.9623507376,0.924187507365,8.16244251946e-16,1.90382626517e-16,18.585117711,0.227620966444,0.288354530656,16.0,18.3816987274,45.0,38.7482366605,4.63908925401,16.5500578362,,0.870603031682,595.741760254,342.284729004,204.073244727,229.847687715,-33.7122911457,4.0
865511350.995,865511360.995,865511356.388,865511351.06,865511360.325,0.432682957297,0.890531937481,8.91326892031e-17,1.83449579121e-16,20.9895755266,1.21365147879,,,,,,,,,3.28238048696,0.651538561456,6.76170380315e-16,1.3421694366e-16,18.7895276945,0.196591241624,0.240235419884,22.0,25.3803493165,60.0,51.5893275025,7.73229959698,22.0347150602,,0.867017666373,594.615966797,341.517944336,203.213004916,229.847896191,-33.7127104486,0.0
865511360.995,865511370.995,865511363.903,865511361.53,865511366.08,0.433075619643,1.19244875265,8.92135776464e-17,2.45644443045e-16,20.9885906614,1.43607437507,,,,,,,,,3.51562181164,0.870420506288,7.24218093199e-16,1.79306624295e-16,18.7149946243,0.24017666828,0.308858554783,14.0,16.3134596253,39.0,33.4892902263,4.64027716839,14.3038687153,,0.858805080602,594.150756836,341.440734863,202.789802291,229.847506264,-33.7118280836,4.0
865511370.995,865511380.995,865511375.199,865511371.0,865511379.74,1.48335068112,0.971145618254,3.05570240311e-16,2.0005599736e-16,19.6518904116,0.546796365721,1.15449992112,,,,,,,,4.38823858446,0.753308031889,9.03977148398e-16,1.55181454569e-16,18.4742744207,0.172008865001,0.204485284757,29.0,33.9340165658,61.0,52.5928664475,7.73294703847,22.4633443092,,0.854802537893,592.513427734,341.525848389,201.198027487,229.848178623,-33.7118221236,0.0
865511380.995,865511390.995,865511386.232,865511381.28,865511390.545,1.67101676957,0.916605983125,3.44229454532e-16,1.88820832524e-16,19.5225479793,0.47480038223,0.863432297628,,,,,,,,4.08385284602,0.726727666416,8.41273686281e-16,1.49705899282e-16,18.5523247882,0.177818507298,0.212756373252,27.0,31.5788842474,51.0,43.6824453429,7.73262050277,18.6575457146,,0.855361391317,591.382141113,341.016967773,200.265129335,229.846073678,-33.7130568395,0.0
865511390.995,865511400.995,865511395.718,865511391.515,865511400.985,2.04388636309,0.969687796271,4.21040590797e-16,1.99755686032e-16,19.3038581349,0.421562843026,0.698430443559,,,,,,,,4.65703199282,0.77609347106,9.59348590521e-16,1.59875255038e-16,18.4097269464,0.167351281489,0.197931145877,31.0,36.0072855704,55.0,47.3039277733,7.73180979342,20.2043449716,,0.861211349187,589.669433594,342.353668213,198.236206603,229.847831375,-33.7133564351,0.0
