flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub
2259.90343031,374.611277602,294.0,1.31088886919e-15,235.159545934,2045.0,14.1515934676,5.92964773463,14.1334422777,239.123957088,287.750854492,4.92595351601e-14,1.22150743333e-15,0.0226022197673,6.36353819994,842324830.99,342.828288698,0.905128100456,842324826.418,6.40227414769,0.028515714732,0.023082760873,842324822.005,4.68128054429,1.0238038575,13.9548154138,8.01707685402,266.644224543,124.911468506,842324820.995,842324830.995,0.0299692613478,5.80685597907e-14,0.0291642006414,32.0,0.0292848970295,297.108685209,281.886212576,1.31886847442e-15,4.84428664624e-14
2463.72715468,414.634285695,264.0,1.21752960965e-15,230.037186331,2226.0,14.1755048826,5.57227716537,14.1204288018,242.007307174,287.180389404,4.98535052778e-14,1.14788909607e-15,0.0216565614995,5.9103379109,842324840.99,308.008528131,0.903660727139,842324835.961,6.02294738137,0.026197396769,0.0220973394512,842324830.995,4.68114586622,1.02371222655,13.9754274619,8.9076592427,239.562188546,126.156433105,842324830.995,842324840.995,0.0288060570064,5.69765614103e-14,0.0280615046094,32.0,0.026845167815,296.173198761,276.585249564,1.24072716056e-15,4.73876603841e-14
2484.78267936,414.832404681,291.0,1.2281753237e-15,232.267718697,2219.0,14.1650278641,5.59336482772,14.1256250014,240.851857166,286.611297607,4.96154825762e-14,1.15223315451e-15,0.0215655168921,5.96201613444,842324850.99,338.33128829,0.893226784333,842324846.105,6.04225593238,0.0265489203001,0.0220025590324,842324840.995,4.68139615421,1.02385458305,13.9667066183,8.91191546674,263.146557559,127.46736908,842324840.995,842324850.995,0.0286184227434,5.74360510777e-14,0.0278834151294,32.0,0.0272144136299,295.179661811,278.815781931,1.24470472207e-15,4.78471500515e-14
2457.56141662,414.783661121,293.0,1.22284510247e-15,229.245645498,2186.0,14.1792472624,5.56329596738,14.1404375529,237.588261042,285.752349854,4.89431817746e-14,1.14603896928e-15,0.0216834420753,5.93614127412,842324860.985,340.443712731,0.88968311262,842324855.95,6.01448272722,0.026793768174,0.022125326113,842324850.995,4.68092599915,1.02373301179,13.9785391124,8.91086830051,264.789554347,127.885749817,842324850.995,842324860.995,0.0288656840205,5.68135039988e-14,0.028118085893,32.0,0.0274717505553,295.124873091,275.793708732,1.23898344181e-15,4.72246029726e-14
2476.19474816,414.753261911,314.0,1.23235089811e-15,231.357092197,2205.0,14.1692929569,5.58475601296,14.1434324385,236.933802606,284.934112549,4.88083633368e-14,1.15045973867e-15,0.0216025119921,5.98228591314,842324870.985,365.063571898,0.89068932237,842324865.957,6.03437014543,0.0270731370846,0.0220410701868,842324860.995,4.68129186355,1.0238117914,13.9702584913,8.9102152291,283.938333699,128.273468018,842324860.995,842324870.995,0.0286945701682,5.72484620188e-14,0.0279556962372,32.0,0.027765514782,295.085524277,277.905155431,1.24308024996e-15,4.76595609926e-14
2437.57509468,414.651057673,294.0,1.21916062733e-15,227.090210551,2186.0,14.1895039676,5.54239966938,14.1510997672,235.266500798,284.006164551,4.84648991645e-14,1.14173433189e-15,0.0217712712025,5.9182554725,842324880.99,341.816504235,0.897089426516,842324875.977,5.99529858122,0.0269744056808,0.0222167791076,842324870.995,4.6810632716,1.02368759414,13.9870578948,8.90801955797,265.857281072,127.576034546,842324870.995,842324880.995,0.029049161611,5.63694843996e-14,0.028292153521,32.0,0.0276616782298,296.090166699,273.638273785,1.23503150773e-15,4.67805833735e-14
2507.91932976,414.679884509,315.0,1.23982238158e-15,234.967370497,2269.0,14.1524811081,5.62141215119,14.1279656797,240.333177353,283.699371338,4.95086345347e-14,1.15801090314e-15,0.0214667899465,6.0185552504,842324890.99,366.877849093,0.905084112979,842324886.031,6.0683871257,0.02685473225,0.0218997993783,842324881.0,4.68134910569,1.02358983425,13.9562444763,8.90863884982,285.349438184,126.886489868,842324880.995,842324890.995,0.0284092323579,5.79921793485e-14,0.0276847953262,32.0,0.0275358427605,296.844783757,281.515433731,1.25008774789e-15,4.84032783224e-14
2400.41299883,414.561956542,299.0,1.21263804163e-15,222.976369227,2178.0,14.2093529013,5.5011711313,14.173630004,230.434763944,283.740753174,4.74695613725e-14,1.13324125305e-15,0.0219374656814,5.88659243509,842324900.99,348.136707205,0.907612285874,842324896.062,5.95729954659,0.0273874305629,0.0223898721732,842324890.995,4.68120284221,1.02380416182,14.0035046495,8.90610538313,270.772994493,125.561553955,842324890.995,842324900.995,0.029402355145,5.5522033087e-14,0.0286270716034,32.0,0.0280961886103,298.048105413,269.524432461,1.2272037066e-15,4.59331320608e-14
2342.9769903,414.732559001,287.0,1.1964985734e-15,216.419091702,2127.0,14.241761075,5.43272217279,14.1978232091,225.356825527,284.559692383,4.64235060586e-14,1.11914076759e-15,0.0222020123054,5.80824550194,842324910.985,335.099402144,0.908063910633,842324905.945,5.89396762087,0.0276287414523,0.0226655115098,842324900.995,4.68115794112,1.0237192314,14.0302462307,8.90977046494,260.632868334,124.076812744,842324900.995,842324910.995,0.0299790950084,5.41712339168e-14,0.0291735129638,32.0,0.0283502095009,299.098762766,262.967154936,1.2141573299e-15,4.45823328906e-14
2339.76318863,414.839480359,312.0,1.20194086359e-15,215.99070179,2145.0,14.2439123611,5.42759565372,14.2156775096,221.681267617,285.795440674,4.56663411291e-14,1.11808470467e-15,0.0222171000597,5.83466438638,842324920.99,364.124773738,0.91702687151,842324916.059,5.88912830127,0.0282070443724,0.0226812360435,842324911.01,4.681316046,1.02369002159,14.032016405,8.91206747474,283.208157352,123.587135315,842324910.995,842324920.995,0.030014376573,5.40829855949e-14,0.0292069227006,32.0,0.0289594439781,299.076500472,262.538765024,1.21316043006e-15,4.44940845687e-14
