flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub
3596.9525175,389.501162467,313.0,1.43188730375e-15,354.087600692,3319.0,13.7072232023,6.62091470421,13.6997972547,356.517701671,312.178619385,7.34426465443e-14,1.36390842907e-15,0.0179539999394,6.9509092415,847708826.99,367.488443962,0.922864883352,847708821.988,6.97018013004,0.0209645327042,0.0182558908183,847708816.995,1.69397677937,-27.3485802557,13.5827866365,9.05835547127,285.824345304,108.925521851,847708816.995,847708826.995,0.0215857729535,8.17998610184e-14,0.0211649736209,48.0,0.0213773215131,304.034449895,397.086703973,1.43585710679e-15,7.29420457425e-14
3501.66489481,389.68223963,327.0,1.4170666426e-15,343.388663868,3208.0,13.7405351153,6.52959248017,13.7388137256,343.933524136,310.986907959,7.0850305972e-14,1.34509605092e-15,0.0181946213912,6.87896428447,847708836.99,384.744407131,0.916377718322,847708831.968,6.88333289164,0.0215013386978,0.0185047285255,847708826.995,1.69365175553,-27.3485481142,13.612441579,9.06256665589,299.245649991,110.179611206,847708826.995,847708836.995,0.0219850127848,7.95958800327e-14,0.0215486605279,48.0,0.0219357571766,303.181774379,386.387767149,1.41796657568e-15,7.07380647567e-14
3634.73817815,389.419822993,278.0,1.43153301588e-15,358.342772747,3296.0,13.6942533755,6.65699008416,13.6732689892,365.335945203,310.561004639,7.52592047119e-14,1.37133995734e-15,0.0178611993052,6.94918939745,847708846.99,326.086409677,0.907019431278,847708841.981,7.00452767906,0.0204582270327,0.0181599513843,847708837.0,1.69384523192,-27.3484618129,13.571213809,9.05646381614,253.622763082,112.014503479,847708836.995,847708846.995,0.0214330553427,8.26764264617e-14,0.0210181321472,48.0,0.0208511309751,301.554273884,401.341876028,1.44293270189e-15,7.38186111858e-14
3786.51875917,389.68223963,297.0,1.46173988184e-15,374.820583232,3439.0,13.6454414197,6.78998543224,13.632449733,379.332546753,310.214233398,7.81425046312e-14,1.39873699904e-15,0.0175024590159,7.09582466914,847708856.99,348.792269469,0.908411400011,847708851.988,7.13082014288,0.0201222446403,0.0177892341959,847708846.995,1.6936146253,-27.3484216745,13.5275277528,9.06256665589,271.282876253,112.983665466,847708846.995,847708856.995,0.0208547333298,8.60708554217e-14,0.0204616948909,48.0,0.0205022291152,300.732206744,417.819686513,1.46894894943e-15,7.72130401458e-14
3652.40502832,389.448630724,303.0,1.43990294134e-15,360.263685822,3321.0,13.6884487802,6.67265519447,13.6771991331,364.015894096,309.403625488,7.49872741837e-14,1.37456697006e-15,0.0178183021806,6.98982010358,847708866.99,355.464378426,0.909451021856,847708862.004,7.019392222,0.02065062972,0.0181156089843,847708857.0,1.69351035866,-27.348547213,13.5660296262,9.05713377733,276.472294331,113.768074036,847708856.995,847708866.995,0.0213633326438,8.30721345552e-14,0.0209510787061,48.0,0.0210510312251,300.227278101,403.262789103,1.44599479773e-15,7.42143192792e-14
3646.21839044,389.512540311,302.0,1.43840272573e-15,359.514564268,3338.0,13.6907087781,6.66590765653,13.6791369053,363.366794654,308.602081299,7.48535596987e-14,1.37317697724e-15,0.0178332887578,6.98253750356,847708876.99,354.616648791,0.915746623273,847708871.936,7.01292276807,0.0206658198532,0.0181311000793,847708867.005,1.69352492669,-27.3486218324,13.5680484209,9.05862007779,275.81294906,113.442726135,847708866.995,847708876.995,0.0213883625724,8.29178155151e-14,0.020975151363,48.0,0.0210668163652,300.780070396,402.513667549,1.44466209022e-15,7.40600002392e-14
3487.12376979,389.547400085,301.0,1.40900701355e-15,341.917328195,3184.0,13.7451972221,6.5182763617,13.7323040957,346.001802881,308.156311035,7.12763713934e-14,1.34276493051e-15,0.0182322008287,6.83983987161,847708886.985,352.544384371,0.913356712065,847708881.96,6.87271873537,0.0212536841275,0.018543601279,847708876.995,1.69343057645,-27.348512755,13.6165838729,9.05943078713,274.201187844,112.362556458,847708876.995,847708886.995,0.0220461905546,7.92927848842e-14,0.0216074305944,48.0,0.0216780537972,301.944634214,384.916431477,1.41578005949e-15,7.04349696082e-14
3411.72982532,389.66989346,294.0,1.39329483356e-15,333.476794879,3100.0,13.7723359531,6.44539981114,13.7564555535,338.390201158,308.076843262,6.97083814385e-14,1.32775236109e-15,0.0184308607216,6.76356715321,847708896.99,345.143232322,0.908800876763,847708892.008,6.80353017152,0.0214871017367,0.0187491436483,847708886.995,1.69359746597,-27.3485210424,13.6406570548,9.06227952967,268.44473625,111.254486084,847708886.995,847708896.995,0.0223800648542,7.75540350211e-14,0.0219280506188,48.0,0.021920939288,303.024485069,376.475898161,1.40152721533e-15,6.86962197452e-14
3446.99245316,389.571850344,256.0,1.39191459813e-15,337.463664684,3160.0,13.7594324539,6.48025352395,13.728272477,347.288985184,308.595458984,7.1541530948e-14,1.33493222593e-15,0.0183371384644,6.75686698121,847708906.985,300.554452414,0.916950667875,847708901.918,6.8366456639,0.0209212539134,0.018652164894,847708897.005,1.69365642828,-27.3483805241,13.629219592,9.05999940965,233.7645741,109.795433044,847708896.995,847708906.995,0.0222216923845,7.83753302009e-14,0.021775989378,48.0,0.0213323234103,304.258904225,380.462767966,1.40834900676e-15,6.9517514925e-14
3354.56607814,389.720730631,309.0,1.38586817586e-15,327.120630981,3089.0,13.7932301619,6.3903414807,13.783609715,330.032047707,309.637115479,6.79866018276e-14,1.31641034502e-15,0.0185859027882,6.72751541677,847708916.99,363.333216313,0.921049920664,847708912.031,6.75134722611,0.021909558553,0.0189096102488,847708906.995,1.69369687676,-27.3482914702,13.6591443958,9.06346181412,282.592501577,109.078460693,847708906.995,847708916.995,0.0226426624227,7.6244665258e-14,0.0221800877499,48.0,0.0223608028654,304.632225695,370.119734262,1.39077752858e-15,6.73868499821e-14
2529.45647415,272.596563203,205.0,1.71029818422e-15,355.994775803,2324.0,13.701390938,7.93327717329,13.6862348252,360.999059041,310.837615967,7.43658061625e-14,1.6342550977e-15,0.0213761003868,8.30241836999,847708923.99,240.871473422,0.918947674164,847708920.578,8.34982163366,0.0246874379324,0.0218054222158,847708917.005,1.69391191349,-27.3487035469,13.5775844168,6.33958716347,187.344479328,109.454566956,847708916.995,847708926.995,0.0257692362566,8.21927390914e-14,0.0251717733406,48.0,0.0252618668429,303.918705231,398.993879084,1.72006325653e-15,7.33349238154e-14
1499.26019794,270.865706778,169.0,1.33691979291e-15,193.700840911,1359.0,14.3621712347,6.10565346644,14.2968093879,205.719871723,698.126586914,4.23782935749e-14,1.25776461409e-15,0.027684529255,6.48990190731,905799326.99,194.64450315,0.906634264376,905799323.926,6.63430945026,0.0337228431177,0.0284089521791,905799321.0,1.69191493934,-27.3483957636,14.1458233561,6.34170964557,151.390169117,539.916503906,905799316.995,905799326.995,0.0378385309455,4.87009998938e-14,0.0365641255145,32.0,0.0348039392081,329.326722102,236.412620844,1.36666774675e-15,3.99023732277e-14
