flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub
359.9973377,369.1162737,268,6.82E-16,-1.143437196,352,,2.379127914,18.92188714,2.905662328,691.611084,5.99E-16,4.90E-16,0.055766531,3.310008136,750688169,336.8246187,0.978179463,750688164.4,3.385834695,0.825607097,0.058786684,750688160,0.094826229,0.110776896,15.94358141,7.975021307,261.9747035,414.7404175,750688159,750688169,,9.30E-15,,0,,291.9833971,45.1406114,6.97E-16,-2.36E-16
429.9466118,410.0467932,300,6.60E-16,2.246192849,420,19.2013824,2.340481359,18.132754,6.010331131,692.5327148,1.24E-15,4.82E-16,0.051138641,3.205821207,750688179,376.6989578,0.977230671,750688174.1,3.271416647,0.464128113,0.053666864,750688169,0.094147285,0.110191004,15.86496887,8.859354478,292.9880783,412.9183655,750688169,750688179,,1.00E-14,0.9757598,0,0.827603546,292.8178161,48.53024144,6.74E-16,4.63E-16
408.7768533,410.0949997,300,6.52E-16,-0.148768336,400,,2.281865357,18.69055379,3.59565888,691.1889038,7.41E-16,4.70E-16,0.052415048,3.163543359,750688189,376.9178917,0.978878758,750688183.9,3.229645379,0.685292394,0.055074363,750688179,0.095879181,0.112222936,15.91991709,8.860396014,293.1583602,411.7598877,750688179,750688189,,9.50E-15,,0,2.300446543,291.4262731,46.13528026,6.65E-16,-3.06E-17
425.6621364,410.1817714,285,6.50E-16,1.746771831,417,19.47440955,2.328024223,17.8637392,7.700241069,691.0952759,1.59E-15,4.80E-16,0.051389382,3.15761216,750688199,357.4205149,0.979962666,750688193.9,3.26225252,0.373099113,0.053943082,750688189,0.096442548,0.110292924,15.87619999,8.86227078,277.9937338,413.1517639,750688189,750688199,,9.89E-15,1.143792408,0,0.572992653,291.3922246,48.03082042,6.72E-16,3.60E-16
415.3827045,410.2487394,321,6.65E-16,0.579211269,407,20.67290749,2.299366981,19.75133102,1.35352908,690.7816162,2.79E-16,4.74E-16,0.052006461,3.228230565,750688209,403.3854049,0.98018747,750688203.8,3.241732671,1.32391178,0.054623434,750688199,0.095685793,0.110203436,15.90291876,8.86371767,313.7442038,413.0783081,750688199,750688209,,9.65E-15,2.048334157,0,,291.0755752,46.86325986,6.68E-16,1.19E-16
391.1667034,410.091091,315,6.52E-16,-2.135860292,384,,2.23219405,,-0.529249762,690.0192261,-1.09E-16,4.60E-16,0.053553596,3.166245915,750688219,395.8560212,0.981998767,750688214.2,3.19475192,,0.056332785,750688209,0.095052932,0.110182055,15.96771778,8.860311565,307.8880165,412.8841858,750688209,750688219,,9.09E-15,,0,,290.3052768,44.1481883,6.58E-16,-4.40E-16
475.6914265,410.0660758,334,6.96E-16,7.407115835,467,17.90587716,2.461728541,18.08304499,6.291902808,688.6546021,1.30E-15,5.07E-16,0.048673282,3.377876467,750688229,419.9466079,0.982029736,750688223.9,3.359192705,0.466586389,0.050958123,750688219,0.095740754,0.111349838,15.75524294,8.859771092,326.6251395,412.0513611,750688219,750688229,0.656042199,1.11E-14,0.406044213,0,0.83572133,288.9060653,53.69116443,6.92E-16,1.53E-15
400.6386439,410.0593008,299,6.48E-16,-1.063324605,393,,2.259233362,18.95455491,2.819538535,689.4860229,5.81E-16,4.65E-16,0.052932023,3.144841005,750688239,375.6585906,0.981250047,750688234.2,3.213765691,0.813468093,0.055645424,750688229,0.094982035,0.109931406,15.94165622,8.859624714,292.1789038,411.4972839,750688229,750688239,,9.32E-15,,0,,289.7142472,45.22072399,6.62E-16,-2.19E-16
401.438625,410.1940185,313,6.55E-16,-0.987910689,393,,2.260745089,20.17648773,0.914965901,690.5682373,1.88E-16,4.66E-16,0.05288052,3.180989935,750688248.9,393.3297074,0.979314291,750688243.9,3.214561735,1.627375891,0.055588507,750688239,0.093948485,0.109881054,15.93984706,8.862535386,305.9231057,410.8406372,750688239,750688249,,9.33E-15,,0,,290.7703904,45.2961379,6.62E-16,-2.04E-16
371.4522126,410.1432062,336,6.55E-16,-4.366220878,364,,2.174940065,,-5.724411545,689.7879028,-1.18E-15,4.48E-16,0.054921482,3.179106773,750688259,422.178728,0.980251126,750688254,3.154908886,,0.057848373,750688249.1,0.095791989,0.112463217,16.02400308,8.86143755,328.3612329,410.028595,750688249,750688259,,8.64E-15,,0,,289.9613791,41.91782772,6.50E-16,-8.99E-16
