flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub
3330.1652544,377.731130169,265.0,2.05067680847e-15,488.567072371,2804.0,13.3576895156,9.54941725914,13.3254318108,503.300400143,330.086395264,1.03679882429e-13,1.96717995538e-15,0.0186532894043,9.9547417887,777249713.994,288.69692763,0.84211649226,777249710.529,10.0764550584,0.0212650831712,0.018979369094,777249706.997,1.89065181006,13.5996236264,13.2269755931,6.04304770254,224.542054824,519.728881836,777249706.995,777249716.995,0.0226269190513,1.13521202574e-13,0.0221649808688,16.0,0.0216899127343,138.646735529,551.073798904,2.07574974203e-15,1.00644816908e-13
2978.54123779,322.972615155,218.0,2.25896769615e-15,513.564379025,2538.0,13.3035127667,10.5545366776,13.2687929337,530.252624247,328.5,1.09232040595e-13,2.17423455559e-15,0.0197139547136,10.9658626027,777249726.993,236.680064136,0.852314102713,777249723.96,11.1120433436,0.0222244904932,0.0200785353652,777249720.998,1.89049147895,13.5996466776,13.1788975448,5.17085828202,184.084494328,513.660522461,777249716.995,777249726.995,0.0237500597559,1.18661054223e-13,0.023241638069,16.0,0.0226889385534,134.279426444,576.024535065,2.28908092877e-15,1.05794262079e-13
4895.76376984,538.358607213,338.0,1.73389648917e-15,505.544450745,4181.0,13.320601631,8.11786137907,13.2788246206,525.375905797,328.439819336,1.08227436594e-13,1.67227944409e-15,0.0154073863048,8.41697324839,777249736.983,367.426685203,0.854214727271,777249731.918,8.55255963788,0.0172565602381,0.0156291795032,777249726.995,1.89052534215,13.5998526531,13.1941203549,8.6192325051,285.776310714,513.96472168,777249726.995,777249736.995,0.018525111815,1.17008948998e-13,0.0182143268484,16.0,0.0175352696602,134.569005511,568.004606785,1.7618272854e-15,1.04142156853e-13
4772.54972677,538.380760915,372.0,1.71961604365e-15,491.226420977,4070.0,13.351795706,8.01472755589,13.3180539291,506.732113894,328.113037109,1.04386815462e-13,1.65103387651e-15,0.0156035936815,8.34765069735,777249746.993,404.728088874,0.852953888337,777249742.046,8.45471244904,0.0177401504429,0.0158311135673,777249737.002,1.89064458938,13.599798435,13.2218400123,8.61958719043,314.788513568,515.797058105,777249736.995,777249746.995,0.0188497651048,1.14059434866e-13,0.0185280859626,16.0,0.0180348333424,136.296346611,553.686577017,1.7416707645e-15,1.01192642721e-13
4874.79849504,538.27245393,349.0,1.73280446426e-15,503.202590476,4137.0,13.3256428295,8.10175757158,13.2867420042,521.558704983,327.232421875,1.07441093226e-13,1.66896205974e-15,0.0154402481742,8.41167215661,777249756.993,380.082154279,0.848737414665,777249752.052,8.53734376691,0.0173709923464,0.0156629953469,777249746.995,1.89063538061,13.5997070524,13.1986060553,8.61785317323,295.619453328,516.724914551,777249746.995,777249756.995,0.0185786715428,1.16526525782e-13,0.0182661020166,16.0,0.0176534407259,137.549358788,565.662746516,1.75869281598e-15,1.03659733638e-13
4911.55003796,538.255574919,362.0,1.74109922909e-15,507.485044834,4171.0,13.3164418788,8.13249518177,13.2810686658,524.291158167,326.353607178,1.08003978582e-13,1.67529400744e-15,0.0153827805691,8.45193800529,777249766.994,393.427499427,0.849320482565,777249762.005,8.56653185414,0.0173632417848,0.0156038608269,777249756.995,1.89059380982,13.5997294797,13.1904172472,8.61758293679,305.999166221,516.348571777,777249756.995,777249766.995,0.0184840730221,1.1740871138e-13,0.0181746520302,16.0,0.0176454361229,137.698152966,569.945200874,1.76470556195e-15,1.04541919236e-13
4901.85714908,538.352277584,357.0,1.73833836336e-15,506.258088807,4162.0,13.3190700618,8.12300715025,13.2823396633,523.677765262,325.791503906,1.07877619644e-13,1.67333947295e-15,0.0153978746599,8.43853574446,777249776.992,388.209801337,0.849154483547,777249771.946,8.55744899803,0.0173560719235,0.0156193921244,777249766.995,1.89069633514,13.5997791404,13.1927570977,8.61913116643,301.940956595,515.637329102,777249766.995,777249776.995,0.0185094405852,1.17155958438e-13,0.0181991768192,16.0,0.0176380313574,137.400483166,568.718244847,1.76283449359e-15,1.04289166294e-13
4882.23044871,538.164146945,373.0,1.73856865402e-15,504.178995566,4143.0,13.3235381282,8.10956279589,13.2908867225,519.571488344,325.79208374,1.07031726599e-13,1.67056993595e-15,0.01542857491,8.43965366029,777249786.994,405.540595057,0.848672807366,777249781.939,8.54483646527,0.0174944400966,0.0156509829721,777249776.996,1.89067809425,13.5996449881,13.1967335536,8.61611915603,315.420462822,515.229064941,777249776.995,777249786.995,0.0185587960312,1.16727665231e-13,0.0182468893245,16.0,0.0177809504025,137.056748257,566.639151606,1.76023631185e-15,1.03860873087e-13
4830.18556828,538.104367115,372.0,1.72988239642e-15,498.20086575,4101.0,13.3364888053,8.0671188664,13.3030151312,513.799819696,326.296966553,1.05842762857e-13,1.66182648648e-15,0.0155108837196,8.39748736128,777249796.993,403.716850769,0.849130695216,777249792.005,8.50461249104,0.0176017008336,0.0157356884596,777249786.995,1.89057568716,13.5998135005,13.2082490896,8.61516206862,314.001995043,514.643310547,777249786.995,777249796.995,0.0186942418008,1.15496170489e-13,0.0183778044718,16.0,0.017891764381,136.290960054,560.66102179,1.75195017316e-15,1.02629378345e-13
4877.48282301,537.983752519,365.0,1.73676649126e-15,503.817797116,4163.0,13.3243162383,8.10833678883,13.2893111126,520.32603283,327.450500488,1.07187162763e-13,1.6703173785e-15,0.0154360288749,8.43090529737,777249806.992,395.794504845,0.853673687211,777249801.961,8.54381517455,0.0174513102294,0.0156586534459,777249796.995,1.8906416132,13.5997523588,13.197425866,8.61323100401,307.840170435,514.173583984,777249796.995,777249806.995,0.0185699768345,1.1665325835e-13,0.0182576973493,16.0,0.0177363980398,135.273933776,566.277953156,1.76002592596e-15,1.03786466206e-13
