t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
842324820.995,842324830.995,842324826.46,842324822.01,842324830.985,221.264938439,5.3673037787,4.55805773184e-14,1.10566457841e-15,14.2177184969,0.0260227358102,0.0266617923372,224.350321334,5.33133177519,4.62161661949e-14,1.09825434569e-15,14.2026832602,0.0254990234602,0.0261123122131,226.110243208,5.31070398868,4.65787101008e-14,1.09400502167e-15,14.1941994072,0.0252060741927,0.0258051859642,1642.0,1812.74319728,95.0,85.2929182273,8.01707685402,38.8451807151,14.1094289155,0.906019738358,124.875953674,287.721252441,297.152751998,4.68119807454,1.02379463702,32.0
842324830.995,842324840.995,842324835.935,842324830.995,842324840.99,212.331142435,4.98160238537,4.37402153416e-14,1.02621009139e-15,14.2624657589,0.0251787521033,0.0257765503026,214.933498966,4.95219286128,4.42763007869e-14,1.02015172942e-15,14.2492397281,0.0247321539182,0.0253086900157,216.693420839,4.93220438897,4.46388446928e-14,1.01603410413e-15,14.2403856859,0.0244356203954,0.0249982564016,1745.0,1930.23115297,95.0,85.3203840449,8.9076592427,38.8576895455,15.6767843414,0.904157213874,126.106552124,287.171264648,296.222795055,4.68107499343,1.02367690038,32.0
842324840.995,842324850.995,842324846.078,842324840.995,842324850.99,212.867892958,5.00240257636,4.38507859493e-14,1.03049493073e-15,14.2597245966,0.0252196528379,0.0258194179829,216.180051448,4.96511595781,4.45330905984e-14,1.02281388731e-15,14.2429609603,0.024654593721,0.0252274774021,217.939973322,4.94518926157,4.48956345043e-14,1.01870898788e-15,14.2341577665,0.0243606628872,0.0249198127122,1730.0,1942.26261907,110.0,99.2505705266,8.91191546674,45.2019514435,15.6842749631,0.890858095928,127.339263916,286.624847412,295.292739881,4.68124514812,1.02370764504,32.0
842324850.995,842324860.995,842324855.93,842324850.995,842324860.985,211.25826384,4.97312594011,4.3519202351e-14,1.02446394366e-15,14.2679657341,0.0252625832568,0.0258644165144,214.060925543,4.94140262349,4.40965506619e-14,1.01792894044e-15,14.2536565028,0.0247783322153,0.0253570485533,215.820847416,4.92137755499,4.44590945678e-14,1.01380377633e-15,14.2447665164,0.0244800556348,0.0250447635021,1705.0,1923.15114783,99.0,89.2702365014,8.91086830051,40.6565813604,15.6824320324,0.886668897087,128.024078369,285.797393799,294.979892891,4.68115258899,1.02382425349,32.0
842324860.995,842324870.995,842324865.921,842324860.995,842324870.985,211.608228288,4.98577526543,4.35912950273e-14,1.02706970468e-15,14.2661686224,0.0252846947456,0.025887594615,214.789056861,4.94984527739,4.42465457134e-14,1.01966812714e-15,14.2499696224,0.0247369983419,0.0253137629641,216.548978735,4.92985303488,4.46090896193e-14,1.01554972519e-15,14.2411096503,0.0244402104587,0.0250030603032,1713.0,1929.49800817,107.0,96.6622590816,8.9102152291,44.0231498745,15.6812826777,0.887943148561,128.182617188,284.974456787,295.153460407,4.68121114196,1.02366757538,32.0
842324870.995,842324880.995,842324875.987,842324870.995,842324880.99,205.960246468,4.9295516377,4.24278107724e-14,1.01548763737e-15,14.2955414928,0.0256804204488,0.0263025728467,209.454774014,4.8896001152,4.31476834469e-14,1.00725762373e-15,14.2772743412,0.0250545640533,0.0256464102245,211.214695887,4.86935552999,4.35102273528e-14,1.00308723918e-15,14.2681896694,0.0247464543049,0.0253236651241,1685.0,1881.50464189,114.0,102.774223722,8.90801955797,46.8067381947,15.6774184681,0.895862131788,127.593925476,284.130554199,296.02499541,4.68121809491,1.02354491972,32.0
842324880.995,842324890.995,842324886.033,842324881.02,842324890.99,211.318589217,5.00029703394,4.35316293788e-14,1.03006118899e-15,14.2676557434,0.0253918390151,0.0259999209937,215.270589591,4.95573970657,4.43457414558e-14,1.02088237955e-15,14.2475382493,0.0247113495267,0.0252869047512,217.030511465,4.93576779885,4.47082853617e-14,1.01676816656e-15,14.2386980153,0.0244155207442,0.0249772208529,1751.0,1933.44644603,124.0,111.729914859,8.90863884982,50.8854524405,15.6785083734,0.906007863262,126.805870056,283.694213867,296.920980269,4.68123948761,1.023513016,32.0
842324890.995,842324900.995,842324896.039,842324890.995,842324900.99,202.739620654,4.88420700762,4.17643618546e-14,1.00614664357e-15,14.3126534261,0.0258464092287,0.0264767294553,205.839589385,4.8484436448,4.24029554134e-14,9.98779390828e-16,14.2961777328,0.0252774043737,0.0258799524639,207.599511259,4.82802209037,4.27654993193e-14,9.94572550616e-16,14.2869341832,0.0249611987158,0.0255485901872,1682.0,1848.90312476,106.0,95.036438056,8.90610538313,43.2826978785,15.6740496699,0.909970988442,125.483779907,283.817626953,298.089749741,4.68117920335,1.02361779968,32.0
842324900.995,842324910.995,842324905.969,842324900.995,842324910.985,195.831883087,4.82511786285,4.03413679159e-14,9.93974279747e-16,14.3502914999,0.0264272922216,0.0270866258585,199.873599129,4.77787975852,4.11739614206e-14,9.84243230255e-16,14.3281114178,0.025648636193,0.0262692308028,201.633521002,4.7571638402,4.15365053265e-14,9.79975751081e-16,14.318593165,0.025318395284,0.0259229226564,1634.0,1796.50839017,126.0,113.499242744,8.90977046494,51.6912621477,15.6804999276,0.909764857186,124.065635681,284.57043457,299.104928056,4.68115545107,1.02369955213,32.0
842324910.995,842324920.995,842324916.03,842324911.01,842324920.99,196.910271198,4.81081242297,4.05635158667e-14,9.91027359133e-16,14.3443290742,0.0262073053773,0.0268555726153,199.82528499,4.77669655979,4.11640087079e-14,9.83999491317e-16,14.3283738974,0.0256484861598,0.026269073421,201.585206863,4.75598084005,4.15265526138e-14,9.79732053049e-16,14.3188533534,0.0253181683991,0.0259226848069,1656.0,1796.54096547,102.0,91.4807954172,8.91206747474,41.6633420898,15.6845424853,0.921915907671,123.578727722,285.726348877,299.110660306,4.68123580429,1.02376533397,32.0
842324920.995,842324930.995,842324925.997,842324920.995,842324930.99,204.376343178,4.90372715821,4.21015266947e-14,1.01016779459e-15,14.3039234394,0.0257431209305,0.0263683522259,207.560407135,4.86715498587,4.27574438698e-14,1.00263392709e-15,14.2871387152,0.0251658778615,0.0257630576136,209.320329008,4.84682209806,4.31199877757e-14,9.984453522e-16,14.2779714783,0.0248536273914,0.0254359077115,1713.0,1865.1280724,108.0,96.7275738839,8.91040101665,44.0528963687,15.6816096493,0.918589436716,123.605239868,287.024505615,298.592574857,4.68120030652,1.02375101945,32.0
842324930.995,842324940.995,842324936.026,842324930.995,842324940.985,217.27899082,5.05560764098,4.4759472109e-14,1.04145517404e-15,14.2374556613,0.0249732873902,0.0255612546726,220.711366997,5.01735240222,4.54665416014e-14,1.03357459486e-15,14.2204382485,0.0244052928464,0.0249665170209,222.47128887,4.99762378635,4.58290855073e-14,1.02951049999e-15,14.2118150728,0.0241202018586,0.0246682429239,1789.0,1981.62203023,113.0,101.550552923,8.90731581722,46.2494385464,15.6761799393,0.903078348852,124.552230835,288.106658936,297.307237235,4.68123480647,1.0238831736,32.0
842324940.995,842324950.995,842324942.517,842324941.0,842324943.99,206.21657738,8.97515246982,4.24806149404e-14,1.84888140878e-15,14.2941910637,0.046255005511,0.0483136080147,208.91892664,8.91860669808,4.30372988879e-14,1.8372329798e-15,14.2800555352,0.0453873119178,0.0473677387329,210.678848514,8.88158733876,4.33998427938e-14,1.82960699179e-15,14.27094766,0.044832870556,0.0467641709652,513.0,562.678978388,29.0,26.1680605952,2.67079007863,11.9177894708,4.70038187845,0.912028629149,125.396202087,288.602935791,296.338576197,4.68127534335,1.02391123783,36.0
846058090.995,846058100.995,846058098.512,846058095.995,846058100.985,187.497891762,6.66512905322,3.86245657031e-14,1.37301658496e-15,14.3975090279,0.0379253283332,0.0392981787158,191.3886575,6.59952484948,3.94260634451e-14,1.35950211899e-15,14.3752095098,0.0368076812453,0.0380994226709,193.059320742,6.57115393936,3.97702200728e-14,1.35365771151e-15,14.3657730654,0.0363401639887,0.0375987350592,816.0,863.173830484,58.0,54.597117482,4.4710290452,24.8653104993,7.46958387677,0.945526061262,97.6574401855,418.596710205,302.913950002,4.68140504506,1.02377719553,36.0
846058100.995,846058110.995,846058108.994,846058107.0,846058110.99,170.098250532,7.11664078586,3.50402396095e-14,1.46602800189e-15,14.5032503828,0.0445009145772,0.0464031098594,174.057123787,7.0385371489,3.58557675001e-14,1.44993865267e-15,14.4782704932,0.0430406049567,0.0448174962468,175.727787028,7.00531577131,3.61999241279e-14,1.44309504889e-15,14.4678989002,0.0424419716642,0.0441687802076,592.0,629.253220934,47.0,44.2622486776,3.58084075134,20.1584736983,5.98237901634,0.940875262863,91.8368988037,416.276031494,308.592621655,4.68105765801,1.0236663787,36.0
846058110.995,846058120.995,846058116.057,846058110.995,846058120.99,185.629976843,4.65734229544,3.82397752296e-14,9.5941251286e-16,14.4083797238,0.0269043427783,0.0275880043042,188.229038237,4.62606677687,3.87751818769e-14,9.52969756034e-16,14.393283442,0.0263612906066,0.0270172939648,189.899701479,4.60585090563,3.91193385046e-14,9.4880528656e-16,14.3836892949,0.0260193031109,0.026658188973,1590.0,1699.92129021,89.0,83.9228503692,8.9516796339,38.2212070647,14.9552421126,0.935468947503,91.301612854,415.57611084,309.091102194,4.68110854554,1.02385126673,32.0
846058120.995,846058130.995,846058125.999,846058120.995,846058130.99,179.162310728,4.62923141278,3.690743601e-14,9.53621671032e-16,14.4468833623,0.0276971668428,0.0284222599944,183.850537935,4.5723284261,3.78732108145e-14,9.41899655777e-16,14.4188377377,0.0266717530956,0.0273434969279,185.521201176,4.55187897599,3.82173674422e-14,9.37687069054e-16,14.4090161312,0.0263176625812,0.0269714693207,1557.0,1661.13787965,133.0,125.017066673,8.95389782473,56.9368553486,14.9589479625,0.937475264662,92.9979934692,415.307678223,307.383403954,4.68129874051,1.02367664464,32.0
