t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
842324331.995,842324341.995,842324337.224,842324332.01,842324341.88,8.07417297584,1.02787354668,1.66327963302e-15,2.11741950616e-16,17.812254877,0.130102504329,0.147842387103,8.02346676701,1.03065220492,1.652834154e-15,2.12314354214e-16,17.8190948547,0.131210346868,0.149275116247,8.72003178071,0.991800180774,1.79632654683e-15,2.0431083724e-16,17.7287048306,0.116957729218,0.131094847984,68.0,77.3014729428,33.0,29.0702616783,8.86481550604,5.72541914817,6.17492033449,0.879933410851,184.393386841,237.745071411,269.838606373,1.59386289174,1.16626225509,0.0
842324341.995,842324351.995,842324346.703,842324342.15,842324351.765,9.18433173506,1.06840258192,1.89197233742e-15,2.20090931876e-16,17.6723810952,0.119480353923,0.134273286617,8.9560105799,1.08038671166,1.84493817946e-15,2.22559662602e-16,17.6997135051,0.12365811654,0.139574078618,9.65257559361,1.04339486704,1.98843057228e-15,2.14939342609e-16,17.6183919713,0.111442458475,0.124203466764,75.0,85.5833005424,24.0,21.0794640475,8.86636936561,4.15162300314,6.1760026987,0.876429480593,187.63520813,237.752838135,267.250718164,1.59399750877,1.16660341158,0.0
842324351.995,842324361.995,842324357.608,842324352.29,842324361.925,9.11454373244,1.09163996946,1.87759600888e-15,2.24877833708e-16,17.6806626673,0.122821119759,0.138508375788,9.14185346903,1.09022779054,1.88322181462e-15,2.24586924852e-16,17.6774143603,0.122324311536,0.137876699063,9.83841848274,1.05356895316,2.02671420744e-15,2.17035204351e-16,17.5976867711,0.110454600306,0.122977411136,77.0,87.2016403809,37.0,32.5765018062,8.86337987491,6.41597689369,6.17392032407,0.883108827236,189.469985962,237.495758057,265.952092416,1.59396150813,1.16661071445,0.0
842324361.995,842324371.995,842324366.631,842324361.995,842324371.975,9.5690272637,1.09443031542,1.97121961632e-15,2.25452644977e-16,17.6278305201,0.117575634096,0.131871849081,9.39821852039,1.10319600099,1.9360330152e-15,2.27258376205e-16,17.6473861533,0.12050565747,0.135569923271,10.0947835341,1.06699730926,2.07952540802e-15,2.19801445709e-16,17.5697574734,0.109091201075,0.121289360212,79.0,89.5091376058,27.0,23.6699029989,8.86687042902,4.66181272688,6.17635172194,0.882702440474,189.614562988,237.214614868,266.00961208,1.59407531494,1.16652047476,0.0
842324371.995,842324381.995,842324377.005,842324372.38,842324381.595,8.77779696602,1.04341051339,1.808226175e-15,2.14942565759e-16,17.721536172,0.121948386687,0.137399157977,8.51516196672,1.05752026795,1.75412336514e-15,2.17849175197e-16,17.7545177173,0.127101824142,0.143978497919,9.21172698043,1.01967044185,1.89761575797e-15,2.10052111021e-16,17.6691473556,0.113984741797,0.127370291914,72.0,81.6135849666,22.0,19.5201316862,8.85974857266,3.8445108258,6.17139088597,0.882373179796,189.440811157,236.17616272,266.783473377,1.59396008539,1.16668402221,0.0
842324381.995,842324391.995,842324386.929,842324382.11,842324391.905,7.5436214913,0.975663980215,1.55398602721e-15,2.00986779924e-16,17.8860502772,0.132058205202,0.150373886256,7.29680045698,0.989822253348,1.50314089414e-15,2.0390338419e-16,17.9221688252,0.138112739905,0.158277849514,7.99336547069,0.949322769134,1.64663328696e-15,1.95560490442e-16,17.8231758247,0.12184605126,0.137269225245,63.0,70.897601901,23.0,20.253910597,8.86955590371,3.98902936756,6.17822232966,0.888770044664,189.328811646,235.530349731,267.268807499,1.59427859773,1.16642968662,0.0
842324391.995,842324401.995,842324397.281,842324392.005,842324401.62,8.68368306712,1.04330391594,1.78883871183e-15,2.14920606684e-16,17.733240089,0.123185925723,0.138972633942,8.47403518018,1.05456727295,1.74565124712e-15,2.17240858228e-16,17.7597743434,0.12734736322,0.144293755041,9.17060019389,1.01666288614,1.88914363994e-15,2.09432554544e-16,17.6740055997,0.114149403908,0.127575980297,71.0,81.3657404373,25.0,21.9351458486,8.87245531558,4.3201504496,6.18024195853,0.872834998694,188.575836182,234.776290894,268.326389118,1.59407022709,1.1664442187,0.0
842324401.995,842324411.995,842324406.609,842324402.09,842324411.98,9.90848028036,1.13459073225,2.04114693775e-15,2.33725690843e-16,17.5899823765,0.117707038796,0.132037216234,9.97031263487,1.13151642589,2.05388440278e-15,2.33092383734e-16,17.5832280587,0.116714398827,0.13078913944,10.6668776486,1.09628773974,2.19737679561e-15,2.25835274387e-16,17.5099067158,0.106217223777,0.117746515415,83.0,94.6728634492,39.0,34.1764281272,8.87540539679,6.73108409484,6.18229688189,0.876919335676,187.572402954,234.361938477,269.372328594,1.59403387539,1.16668397175,0.0
842324411.995,842324421.995,842324415.657,842324412.055,842324421.595,8.52379145287,1.02819259477,1.75590103929e-15,2.11807674522e-16,17.7534179612,0.12365193243,0.139566197873,8.25615338471,1.04275551935,1.70076759725e-15,2.14807636986e-16,17.788055618,0.129135601061,0.146594664479,8.95271839842,1.00441323846,1.84425999007e-15,2.06909127122e-16,17.7001126893,0.115448311054,0.129200979028,70.0,79.4483701264,22.0,19.3265819538,8.87421748241,3.80639099887,6.18146942229,0.88128727284,186.399154663,234.523773193,270.199375956,1.59412125871,1.16668642842,0.0
842324421.995,842324431.995,842324427.821,842324422.265,842324431.98,8.52521103736,1.05366633783,1.7561934737e-15,2.17055265592e-16,17.7532371536,0.126523687739,0.1432368488,8.4918845648,1.05544701415,1.74932822035e-15,2.17422084915e-16,17.7574897952,0.127194809917,0.144097866798,9.1884495785,1.01758078241,1.89282061317e-15,2.09621641176e-16,17.6718944088,0.114036548623,0.127434999068,72.0,81.5354889688,34.0,29.8824260805,8.8736938993,5.88537579636,6.18110471261,0.883440064691,185.05696106,235.57460022,270.621917224,1.59391339475,1.16654243949,0.0
842324431.995,842324441.995,842324437.213,842324432.285,842324441.975,8.42267803631,1.06112807238,1.73507167548e-15,2.1859238291e-16,17.7663745006,0.128831166824,0.146202339241,8.50764587271,1.05660390403,1.75257504978e-15,2.17660404231e-16,17.7554764893,0.127103763012,0.143980986671,9.20421088642,1.01875763388,1.8960674426e-15,2.0986407258e-16,17.6700335984,0.113976157062,0.12735957018,71.0,81.6265364683,40.0,35.1911695824,8.86839050903,6.93093851041,6.1774105565,0.870019911275,184.614929199,237.034439087,270.089805005,1.59423775741,1.16643759064,0.0
842324441.995,842324451.995,842324447.129,842324442.22,842324451.99,8.97097630447,1.06466492334,1.84802111872e-15,2.19320974208e-16,17.6979007261,0.121763543567,0.137164487527,8.82029351654,1.07260662467,1.81698046441e-15,2.20956964682e-16,17.7162924061,0.124601469422,0.140777440895,9.51685853025,1.03538438416,1.96047285723e-15,2.13289183137e-16,17.6337659663,0.112127916722,0.125055677313,74.0,84.4858554465,28.0,24.605432373,8.87749409933,4.84606623828,6.183751799,0.876227240433,184.841629028,238.214996338,269.197904912,1.59410617693,1.1665814303,0.0
842324451.995,842324461.995,842324457.15,842324452.075,842324461.97,9.58187866355,1.09625124487,1.97386700469e-15,2.25827756444e-16,17.6263733324,0.11761133269,0.131916769753,9.43107778732,1.10396835977,1.94280202419e-15,2.27417482112e-16,17.6435966827,0.120187788466,0.135167637769,10.127642801,1.06785615049,2.08629441701e-15,2.19978367e-16,17.5662290612,0.108837695274,0.120976012337,80.0,89.9479447039,28.0,24.6110146092,8.88142941759,4.84716566569,6.18649300402,0.889557437768,185.807098389,239.199951172,267.834379428,1.59420467938,1.166575876,0.0
846057571.995,846057581.995,846057580.819,846057580.175,846057581.875,5.73026708202,1.91809568342,1.1804350189e-15,3.95127710785e-16,18.1845628388,0.313484035194,0.442506114504,5.47727796564,1.95480717278,1.12831926092e-15,4.02690277593e-16,18.2335880464,0.331364736611,0.479293451668,6.13834279904,1.85735087104,1.2644986166e-15,3.82614279434e-16,18.1098721545,0.287012522383,0.391266823067,10.0,10.9223067337,4.0,3.68676654555,1.77935757113,0.726112616678,1.17627071632,0.915642815417,125.977737427,348.877349854,278.750292814,1.59390870488,1.16656452961,4.0
846057581.995,846057591.995,846057587.033,846057582.165,846057591.575,8.86165132822,1.06930060212,1.82550017361e-15,2.20275924036e-16,17.7112133545,0.123690553805,0.139615416846,8.85537280768,1.06963058158,1.82420679838e-15,2.20343899805e-16,17.7119828762,0.123809535512,0.139767071839,9.51643764108,1.03430924362,1.96038615406e-15,2.13067704186e-16,17.6338139847,0.112021995496,0.124923909632,77.0,84.65410066,32.0,29.5743250458,8.89556616171,5.82469496784,5.88054596268,0.909638525672,126.899856567,348.346191406,277.942088006,1.59410553105,1.16695421427,0.0
846057591.995,846057601.995,846057596.707,846057592.01,846057601.98,10.1124918165,1.11852037097,2.0831733142e-15,2.30415196419e-16,17.5678545421,0.11390178839,0.127266696882,9.96294255617,1.1260061449,2.05236616657e-15,2.31957265849e-16,17.5840309343,0.116256870209,0.130214740947,10.6240073896,1.09252849065,2.18854552225e-15,2.25060869074e-16,17.5142790898,0.106277156823,0.117820183361,86.0,94.5608104607,25.0,23.1165669351,8.90067250457,4.55283259694,5.88392158637,0.909599664172,127.341331482,347.641571045,277.640333166,1.59402061834,1.16654027444,0.0
846057601.995,846057611.995,846057606.71,846057602.035,846057611.805,6.57903349786,0.953184478366,1.35528090056e-15,1.96356002543e-16,18.0345947558,0.146901954983,0.169935062011,6.67116432785,0.94773830342,1.37425985154e-15,1.95234090505e-16,18.0194959036,0.144226962011,0.166363911639,7.33222916125,0.907702548684,1.51043920722e-15,1.86986725029e-16,17.9169099252,0.126718956207,0.143487243692,60.0,65.2506661976,37.0,34.0328552062,8.89915805448,6.7028072544,5.88292043668,0.91976434855,128.551330566,347.041870117,276.566345852,1.59408005819,1.16652808677,0.0
846057611.995,846057621.995,846057617.139,846057612.005,846057621.8,6.71965074178,0.929668280841,1.38424805281e-15,1.91511665853e-16,18.0116332477,0.140690182726,0.161673631853,6.54574599827,0.940116093789,1.34842367564e-15,1.93663915321e-16,18.0401021278,0.145706682967,0.168336818909,7.20681083167,0.899755074319,1.48460303132e-15,1.8534954531e-16,17.9356421935,0.12773448809,0.144791130576,59.0,64.1560527798,24.0,22.0195211507,8.90214191525,4.33676825566,5.8848929621,0.919906651703,129.767974854,346.289367676,275.518020172,1.5940587544,1.16673437655,0.0
846057621.995,846057631.995,846057627.4,846057622.11,846057631.98,8.99542621402,1.07758814615,1.85305780009e-15,2.21983158106e-16,17.6949456361,0.122844268813,0.138537825128,9.0031851343,1.07718349934,1.85465613767e-15,2.21899800863e-16,17.6940095482,0.122700583984,0.138355057843,9.6642499677,1.04213052906,1.99083549335e-15,2.14678888986e-16,17.6170796137,0.111186298224,0.123885299682,79.0,85.9987367205,33.0,30.2188032538,8.89864573122,5.95162564062,5.88258175779,0.918869637181,129.972961426,345.320861816,275.507549286,1.59379191157,1.16663198835,0.0
