t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
847566281.995,847566291.995,847566287.481,847566283.0,847566291.99,262.459376573,5.89434235698,5.40666315741e-14,1.21423452554e-15,14.0323447677,0.0241138133794,0.0246615608657,271.14233539,5.80291197219,5.58553210904e-14,1.19539986627e-15,13.9970066691,0.0229914606866,0.023488878232,272.266986373,5.79096395447,5.60869991929e-14,1.19293857462e-15,13.9925125392,0.0228508319031,0.023342117835,2080.0,2210.48842572,254.0,238.265762839,8.11882650616,79.6262824073,9.13084621205,0.94103346972,399.281494141,684.762756348,284.763662804,5.49467100769,-24.4220843973,0.0
847566291.995,847566301.995,847566296.98,847566291.995,847566301.99,263.452335002,5.62297400201,5.42711810104e-14,1.15833264441e-15,14.0282448697,0.0229294889276,0.0234241996292,273.481059178,5.52342354401,5.63370981907e-14,1.13782525007e-15,13.9876818669,0.021709819602,0.0221527904012,274.605710161,5.51214754424,5.65687762933e-14,1.13550239411e-15,13.9832260907,0.0215780813676,0.0220156380982,2327.0,2481.86102941,322.0,301.633385351,9.03790758013,100.803173898,10.1644916455,0.937678644357,398.248657227,684.387878418,284.393271004,5.49464762504,-24.4220776817,0.0
847566301.995,847566311.995,847566306.976,847566301.995,847566311.99,264.45306544,5.6148829643,5.44773314807e-14,1.15666589065e-15,14.0241284861,0.0228110993123,0.0233006598847,273.530331916,5.52469658365,5.63472483747e-14,1.13808749623e-15,13.9874862688,0.0217109008113,0.0221539161856,274.654982899,5.51342000216,5.65789264772e-14,1.13576452044e-15,13.9830312936,0.0215791796609,0.0220167813879,2324.0,2481.60588375,295.0,275.824179446,9.03535722366,92.177968608,10.1616233846,0.936565658875,398.542633057,684.141540527,284.145277933,5.49468942474,-24.4220569874,0.0
847566311.995,847566321.995,847566316.973,847566312.0,847566321.985,273.061992185,5.67436563497,5.625077039e-14,1.1689193208e-15,13.989346864,0.0223309163206,0.022799870307,280.919058345,5.59724365284,5.78693260191e-14,1.15303219249e-15,13.9585469901,0.0214203330276,0.0218514514268,282.043709328,5.586117395,5.81010041217e-14,1.15074018337e-15,13.9542089557,0.0212937548276,0.0217197422692,2391.0,2549.25170641,260.0,242.918659983,9.03849872235,81.1812389297,10.1651564742,0.937996294419,399.077636719,683.680236816,283.681736307,5.49470284439,-24.4221003832,0.0
847566321.995,847566331.995,847566327.009,847566321.995,847566331.985,285.232940211,5.81188900724,5.87579856835e-14,1.19724913549e-15,13.9420008032,0.0219005229792,0.0223513913363,294.028976393,5.72749074187,6.0569969137e-14,1.17986309282e-15,13.90902467,0.0209460740312,0.0213581290955,295.153627376,5.71660983531,6.08016472395e-14,1.17762162607e-15,13.9048796876,0.0208277586487,0.0212351263997,2512.0,2665.74832886,287.0,268.113065021,9.03173155133,89.6009832803,10.1575457686,0.942409085025,399.764465332,682.817626953,282.817725031,5.49461881968,-24.4220835036,0.0
847566331.995,847566341.995,847566337.163,847566331.995,847566341.99,303.819290621,5.97338666729,6.2586773868e-14,1.23051765346e-15,13.8734616365,0.0211395063657,0.021559283558,312.016711541,5.89697245175,6.42754425774e-14,1.21477632506e-15,13.8445553616,0.0203284158757,0.0207163021233,313.141362524,5.88641136708,6.45071206799e-14,1.21260074162e-15,13.8406489077,0.0202201413764,0.0206038675362,2675.0,2829.95581996,270.0,252.090725918,9.03731080797,84.2464611574,10.1638204851,0.945401492002,399.618682861,681.891479492,281.891737398,5.49443419363,-24.4221073957,16.0
847566341.995,847566351.995,847566347.029,847566342.0,847566351.99,321.107183597,6.15722705961,6.61480798209e-14,1.26838877428e-15,13.8133749464,0.0206218945127,0.0210211716736,330.751143558,6.06995894908,6.8134735573e-14,1.25041154351e-15,13.781246614,0.0197448466748,0.0201105814564,331.875794541,6.05970016558,6.83664136755e-14,1.24829823411e-15,13.7775610546,0.0196455791918,0.0200076119255,2817.0,2999.50012787,311.0,291.231398173,9.03802017865,97.3269230144,10.1646182795,0.939500239715,399.208465576,681.131958008,281.133072299,5.49459445152,-24.4221376623,16.0
847566351.995,847566361.995,847566356.942,847566351.995,847566361.99,313.067811599,6.09148869562,6.44919691894e-14,1.2548466713e-15,13.8409039563,0.0209227170488,0.0213338446111,323.186710438,5.9989390256,6.65764623503e-14,1.23578143927e-15,13.8063662647,0.019968500458,0.0203426464129,324.311361422,5.98856440297,6.68081404528e-14,1.23364426701e-15,13.8025945917,0.0198657820567,0.0202360528822,2743.0,2932.77589275,325.0,304.246341711,9.04308711202,101.676400494,10.1703168111,0.935476685638,398.377044678,681.176757812,281.181441631,5.49459288976,-24.4221810311,16.0
847566361.995,847566371.995,847566367.019,847566361.995,847566371.985,305.19037923,5.99207105004,6.28692181215e-14,1.23436663631e-15,13.8685729028,0.0211106432022,0.0215292634903,313.750885927,5.91252054246,6.46326825011e-14,1.21797923175e-15,13.838537598,0.0202699059488,0.0206555413085,314.875536911,5.90198977492,6.48643606036e-14,1.21580989363e-15,13.8346526974,0.0201625336194,0.0205440557068,2675.0,2846.30172875,280.0,261.97141932,9.03945017984,87.5485003336,10.1662265318,0.939880093789,397.357940674,681.766601562,281.778988275,5.49452432367,-24.422205374,16.0
847566371.995,847566381.995,847566377.037,847566371.995,847566381.99,316.160720875,6.09253910297,6.51291085003e-14,1.25506305521e-15,13.8302302172,0.0207235157939,0.0211267763956,324.846098207,6.01322741049,6.69182962307e-14,1.23872484656e-15,13.8008058632,0.0199143136633,0.0202864128195,325.97074919,6.00288087971,6.71499743332e-14,1.23659346122e-15,13.7970534234,0.0198123919357,0.020180656694,2763.0,2948.74902666,284.0,265.542868663,9.04605408301,88.7420466936,10.1736536179,0.937089223756,396.809265137,682.782104492,282.800105039,5.49461946884,-24.422129243,16.0
847566381.995,847566391.995,847566385.514,847566381.995,847566388.99,311.117075303,7.2385345879,6.40901175124e-14,1.49113812511e-15,13.8476903812,0.0249716491358,0.0255595383675,320.300134254,7.13764246692,6.59818276563e-14,1.47035434819e-15,13.8161071983,0.0239291553003,0.0244684516901,321.424785237,7.12518799437,6.62135057588e-14,1.46778872684e-15,13.812301594,0.0238051843604,0.0243388447609,1912.0,2035.00776106,208.0,195.278350515,6.33120983362,65.260274497,7.12040136382,0.939665398166,396.703186035,683.935302734,283.954441982,5.49483580325,-24.4221938838,16.0
875006111.995,875006121.995,875006120.0,875006117.995,875006121.985,421.33402388,11.02788948,8.67948089193e-14,2.27174523289e-15,13.5184336725,0.0280522476782,0.0287963023886,428.482924,10.9374959114,8.82674823441e-14,2.25312415776e-15,13.5001662025,0.0273667894036,0.0280744656475,429.603266554,10.9232620496,8.84982729101e-14,2.25019198222e-15,13.4973310627,0.0272612297889,0.0279633869008,1345.0,1546.78675577,103.0,89.0909949075,3.60050045284,29.7734119914,4.03379387025,0.869690714396,631.01171875,192.36100769,310.612886608,5.4932754608,-24.4226018063,52.0
875006121.995,875006131.995,875006126.841,875006121.995,875006131.99,407.209859993,6.86277790097,8.38852311585e-14,1.4137322476e-15,13.5554542868,0.0181456195308,0.0184540443517,414.506823846,6.80347427527,8.53884057122e-14,1.40151570071e-15,13.5361707886,0.0176759755113,0.0179685126108,415.627166399,6.79432322916,8.56191962782e-14,1.39963058521e-15,13.5332401841,0.017605193429,0.0178953730503,3249.0,3742.10048215,262.0,226.772222807,9.00350310249,75.785244343,10.0870076539,0.868452441386,630.246520996,193.362838745,309.374169643,5.49331381111,-24.4225577323,48.0
875006131.995,875006141.995,875006136.968,875006131.995,875006141.99,400.855408101,6.7990406788,8.25762140688e-14,1.40060237983e-15,13.572530632,0.0182610974439,0.0185734942482,407.517629608,6.74443319901,8.39486316992e-14,1.389353239e-15,13.5546339963,0.0178219047979,0.0181193328428,408.637972161,6.73520672674,8.41794222651e-14,1.38745258571e-15,13.5516531989,0.0177493244787,0.0180443147792,3178.0,3681.08274942,242.0,209.780330782,9.00817594105,70.1067063238,10.0922428338,0.863462964308,629.661315918,195.12286377,307.764456978,5.49332065104,-24.4226141054,48.0
875006141.995,875006151.995,875006147.061,875006141.995,875006151.985,389.289176419,6.72923762187,8.01935703423e-14,1.3862229501e-15,13.6043191775,0.0186076279796,0.0189320992754,397.469380509,6.66141873495,8.18786923849e-14,1.3722522594e-15,13.5817408052,0.0180456795669,0.0183506877088,398.589723062,6.65207657873,8.21094829508e-14,1.37032777522e-15,13.5786847575,0.0179703459053,0.0182727913823,3072.0,3590.35765879,289.0,250.683236783,9.00765235794,83.7760909036,10.0916562413,0.855787762914,630.098083496,196.717605591,307.032343419,5.49335740069,-24.422570677,48.0
875006151.995,875006161.995,875006157.134,875006151.995,875006161.99,431.622409213,7.06689850591,8.89142162979e-14,1.45578109222e-15,13.4922400387,0.0176326620741,0.0179237554189,439.215187863,7.00689815662,9.04783286999e-14,1.44342102026e-15,13.4733066265,0.0171842818172,0.0174606426562,440.335530417,6.99800132959,9.07091192658e-14,1.4415882739e-15,13.4705406754,0.0171193097537,0.0173935680363,3394.0,3959.30919365,270.0,234.430787085,8.99157328935,78.3446678823,10.0736421766,0.857448183289,631.577392578,197.925872803,307.346777494,5.49325579302,-24.4226307536,48.0
875006161.995,875006171.995,875006167.011,875006161.995,875006171.99,452.233002896,7.21437445673,9.31599985966e-14,1.48616113809e-15,13.4415943676,0.0171838096262,0.0174601551552,459.187635972,7.16061399422,9.45926530102e-14,1.47508648281e-15,13.4250245355,0.0168004139123,0.0170644706689,460.307978525,7.1519157678,9.48234435762e-14,1.47329464817e-15,13.4223787435,0.0167396348331,0.017001769538,3577.0,4142.40181537,250.0,217.445359051,8.99919620912,72.6682900708,10.082182458,0.863661916593,633.311096191,198.609222412,308.208229779,5.49335351478,-24.4224908725,48.0
